 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, rowcost
Eb major (3b), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 5+0:1:0:0:2, 2+0:0:0:0:1, 5+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:2, 3+0:0:0:0:1, 0+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:1:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:2, 1+0:0:0:0:1, 1+0:0:0:0:0, 89+0:4:0:0:30
A major (3#), 4+0:1:0:0:1, 4+0:2:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 5+0:2:0:0:1, 5+0:2:0:0:1, 5+0:2:0:0:1, 5+0:1:0:0:0, 5+0:1:0:0:0, 7+0:3:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:0, 4+0:2:0:0:1, 5+0:2:0:0:1, 6+0:2:0:0:2, 7+0:3:0:0:2, 6+0:3:0:0:2, 6+0:2:0:0:1, 6+0:2:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:0, 5+0:2:0:0:1, 6+0:3:0:0:2, 3+0:1:0:0:0, 6+0:2:0:0:1, 4+0:2:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:2:0:0:1, 5+0:3:0:0:2, 6+0:2:0:0:1, 2+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:1, 4+0:1:0:0:0, 4+0:2:0:0:2, 4+0:2:0:0:1, 6+0:3:0:0:2, 6+0:2:0:0:2, 4+0:2:0:0:1, 5+0:2:0:0:1, 6+0:2:0:0:1, 5+0:1:0:0:1, 3+0:1:0:0:0, 5+0:2:0:0:1, 10+0:4:0:0:2, 4+0:2:0:0:1, 3+0:1:0:0:1, 227+0:86:0:0:47
C minor (3b), 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+0:1:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 125+0:6:0:0:1
F# minor (3#), 4+0:1:0:0:3, 4+0:2:0:0:4, 4+0:1:0:0:3, 3+0:1:0:0:3, 5+0:2:0:0:4, 6+0:2:0:0:4, 5+0:2:0:0:4, 6+0:1:0:0:2, 5+0:1:0:0:3, 8+0:3:0:0:5, 3+0:1:0:0:3, 5+0:1:0:0:3, 4+0:1:0:0:3, 5+0:2:0:0:4, 6+0:2:0:0:4, 7+0:2:0:0:4, 6+0:3:0:0:4, 6+0:2:0:0:4, 6+0:2:0:0:4, 2+0:0:0:0:1, 3+0:1:0:0:2, 6+0:2:0:0:4, 6+0:3:0:0:5, 4+0:1:0:0:2, 6+0:1:0:0:3, 4+0:2:0:0:4, 3+0:1:0:0:3, 3+0:1:0:0:3, 4+0:2:0:0:3, 5+0:3:0:0:4, 6+0:2:0:0:4, 2+0:0:0:0:1, 4+0:1:0:0:3, 5+0:1:0:0:3, 4+0:2:0:0:4, 5+0:1:0:0:2, 4+0:2:0:0:4, 4+0:2:0:0:3, 7+0:3:0:0:5, 6+0:2:0:0:4, 5+0:2:0:0:3, 5+0:2:0:0:4, 6+0:1:0:0:3, 5+0:1:0:0:3, 3+0:1:0:0:2, 6+0:2:0:0:4, 10+0:4:0:0:6, 5+0:2:0:0:3, 3+0:1:0:0:3, 239+0:81:0:0:166
Ab major (4b), 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:2, 1+0:0:0:0:1, 6+0:1:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:3, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:2, 3+0:1:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:2, 3+0:1:0:0:2, 3+0:0:0:0:0, 3+0:0:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:2, 1+0:0:0:0:0, 5+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:2, 3+0:1:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:2, 5+0:0:0:0:3, 2+0:0:0:0:1, 1+0:0:0:0:1, 114+0:4:0:0:66
E major (4#), 5+0:1:0:0:1, 4+0:2:0:0:2, 4+0:1:0:0:1, 3+0:1:0:0:1, 6+0:2:0:0:2, 6+0:2:0:0:2, 5+0:2:0:0:2, 6+0:1:0:0:1, 6+0:1:0:0:1, 7+0:3:0:0:3, 3+0:1:0:0:1, 5+0:1:0:0:1, 4+0:1:0:0:1, 5+0:2:0:0:2, 6+1:1:0:0:1, 8+0:2:0:0:2, 7+0:3:0:0:3, 7+0:2:0:0:2, 6+0:2:0:0:2, 3+0:0:0:0:0, 4+0:1:0:0:1, 5+0:2:0:0:2, 6+0:3:0:0:3, 4+0:1:0:0:1, 6+0:1:0:0:1, 5+0:2:0:0:2, 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:2:0:0:2, 6+0:3:0:0:3, 6+0:2:0:0:2, 3+0:0:0:0:0, 5+0:1:0:0:1, 5+0:1:0:0:1, 4+0:2:0:0:2, 5+0:1:0:0:1, 5+0:2:0:0:2, 5+0:2:0:0:2, 6+0:2:0:0:2, 7+0:2:0:0:2, 5+0:2:0:0:2, 6+0:2:0:0:2, 6+0:1:0:0:1, 6+0:1:0:0:1, 4+0:1:0:0:1, 6+0:2:0:0:2, 10+0:4:0:0:4, 5+0:2:0:0:2, 3+0:1:0:0:1, 255+1:79:0:0:79
F minor (4b), 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 128+0:4:0:0:4
C# minor (4#), 5+0:1:0:0:4, 4+0:2:0:0:4, 4+0:1:0:0:4, 3+0:1:0:0:3, 6+0:2:0:0:5, 6+0:2:0:0:4, 5+0:2:0:0:4, 6+0:1:0:0:3, 6+0:1:0:0:4, 7+0:3:0:0:6, 3+0:1:0:0:3, 5+0:1:0:0:4, 4+0:1:0:0:3, 5+0:2:0:0:5, 6+1:1:0:0:4, 8+0:2:0:0:5, 7+0:3:0:0:5, 7+0:2:0:0:4, 6+0:2:0:0:5, 3+0:0:0:0:2, 4+0:1:0:0:3, 5+0:2:0:0:5, 6+0:3:0:0:6, 4+0:1:0:0:3, 6+0:1:0:0:4, 5+0:2:0:0:4, 3+0:1:0:0:3, 3+0:1:0:0:3, 5+0:2:0:0:3, 6+0:3:0:0:5, 6+0:2:0:0:5, 3+0:0:0:0:1, 5+0:1:0:0:4, 5+0:1:0:0:4, 4+0:2:0:0:4, 5+0:1:0:0:3, 6+0:2:0:0:4, 5+0:2:0:0:4, 6+0:2:0:0:5, 7+0:2:0:0:5, 5+0:2:0:0:3, 6+0:2:0:0:5, 6+0:1:0:0:4, 6+0:1:0:0:4, 4+0:1:0:0:3, 6+0:2:0:0:5, 10+0:4:0:0:7, 5+0:2:0:0:4, 3+0:1:0:0:3, 256+1:79:0:0:197
Db major (5b), 3+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:3, 1+0:0:0:0:1, 7+0:1:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:3, 1+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:0:0:3, 5+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 4+0:1:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:2, 1+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:1:0:0:3, 4+0:0:0:0:1, 4+0:0:0:0:3, 1+0:0:0:0:1, 4+0:0:0:0:3, 4+0:0:0:0:3, 2+0:0:0:0:1, 6+0:0:0:0:3, 5+0:0:0:0:3, 3+0:0:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2, 4+0:1:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:3, 6+0:0:0:0:4, 3+0:0:0:0:2, 1+0:0:0:0:1, 147+0:4:0:0:97
B major (5#), 6+0:1:0:0:2, 5+0:2:0:0:3, 5+0:1:0:0:2, 4+0:1:0:0:2, 6+0:2:0:0:3, 6+0:2:0:0:3, 6+0:2:0:0:3, 7+0:1:0:0:1, 7+0:1:0:0:2, 7+1:2:0:0:3, 4+0:1:0:0:2, 5+0:1:0:0:2, 5+0:1:0:0:2, 6+0:2:0:0:3, 7+1:1:0:0:2, 9+0:2:0:0:3, 7+0:3:0:0:4, 7+0:2:0:0:3, 7+0:2:0:0:3, 4+0:0:0:0:0, 5+0:1:0:0:1, 6+0:2:0:0:3, 7+0:3:0:0:4, 4+0:1:0:0:1, 7+0:1:0:0:2, 6+0:2:0:0:3, 4+0:1:0:0:2, 4+0:1:0:0:2, 5+0:2:0:0:3, 6+0:3:0:0:4, 7+0:2:0:0:3, 4+0:0:0:0:0, 5+0:1:0:0:2, 6+0:1:0:0:2, 5+0:2:0:0:3, 5+0:1:0:0:1, 6+0:2:0:0:3, 5+0:2:0:0:3, 7+0:2:0:0:3, 8+0:2:0:0:3, 5+0:2:0:0:3, 6+0:2:0:0:3, 7+0:1:0:0:2, 7+0:1:0:0:2, 4+0:1:0:0:1, 7+0:2:0:0:3, 11+0:4:0:0:5, 5+0:2:0:0:2, 4+0:1:0:0:2, 288+2:78:0:0:119
