 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
C major (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:2:0:3, 6+1:0:1:0:2, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 83+1:0:5:0:10
A minor (0), 3+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:3, 3+0:0:0:0:2, 5+0:0:1:0:4, 3+0:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:0, 5+0:0:0:0:4, 5+0:0:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:1, 6+0:0:2:0:5, 6+1:0:1:0:4, 4+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:3, 3+0:0:0:0:2, 5+0:0:1:0:4, 3+0:0:0:0:1, 4+0:0:0:0:2, 108+1:0:5:0:60
F major (1b), 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:2:0:0:2, 0+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:2:0:2, 5+1:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 66+1:2:5:0:7
G major (1#), 2+0:2:0:0:0, 3+0:2:0:0:1, 2+0:2:0:0:0, 3+0:2:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:1, 2+0:2:0:0:0, 5+0:4:0:0:1, 2+0:2:0:0:0, 5+0:4:1:0:2, 2+0:2:0:0:0, 4+0:3:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:0, 5+0:5:0:0:2, 4+0:4:0:0:1, 3+0:2:0:0:1, 3+0:2:0:0:0, 6+0:6:2:0:4, 7+1:5:1:0:3, 4+0:3:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:1, 2+0:2:0:0:0, 5+0:4:0:0:1, 2+0:2:0:0:0, 5+0:4:1:0:2, 2+0:2:0:0:0, 5+0:4:0:0:1, 101+1:80:5:0:24
D minor (1b), 1+0:0:0:0:0, 3+0:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:1:0:3, 1+0:0:0:0:0, 2+0:0:0:0:2, 4+0:2:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:3, 4+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:2:0:5, 6+1:0:1:0:4, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:1:0:3, 1+0:0:0:0:0, 3+0:0:0:0:2, 87+1:2:5:0:42
E minor (1#), 3+0:2:0:0:2, 3+0:2:0:0:2, 3+0:2:0:0:2, 3+0:2:0:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:2:0:0:2, 3+0:2:0:0:2, 3+0:2:0:0:2, 5+0:4:0:0:4, 2+0:2:0:0:2, 5+0:4:1:0:4, 3+0:2:0:0:2, 4+0:3:0:0:3, 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:5:0:0:5, 5+0:4:0:0:4, 4+0:2:0:0:2, 3+0:2:0:0:2, 6+0:6:2:0:6, 7+1:5:1:0:5, 5+0:3:0:0:3, 4+0:2:0:0:2, 3+0:2:0:0:2, 3+0:2:0:0:2, 5+0:4:0:0:4, 2+0:2:0:0:2, 5+0:4:1:0:4, 3+0:2:0:0:2, 5+0:3:0:0:3, 116+1:79:5:0:79
Bb major (2b), 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:2:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:2:0:1, 6+0:0:2:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 53+0:2:6:0:8
D major (2#), 2+0:2:0:0:0, 4+0:2:0:0:2, 2+0:2:0:0:0, 4+0:2:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:2:0:0:0, 4+0:2:0:0:2, 3+0:2:0:0:0, 6+0:4:0:0:2, 3+0:2:0:0:1, 5+0:4:1:0:3, 2+0:2:0:0:0, 4+0:3:0:0:2, 3+0:1:0:0:1, 3+0:1:0:0:0, 6+0:5:0:0:3, 5+0:4:0:0:2, 4+0:2:0:0:1, 4+0:2:0:0:1, 6+0:6:2:0:5, 8+1:5:1:0:4, 5+0:3:0:0:1, 3+0:2:0:0:0, 4+0:2:0:0:2, 3+0:2:0:0:0, 6+0:4:0:0:2, 3+0:2:0:0:1, 5+0:4:1:0:3, 2+0:2:0:0:0, 5+0:4:0:0:2, 122+1:80:5:0:42
G minor (2b), 0+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:1:0:2, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:2:0:4, 7+0:0:2:0:4, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:1:0:2, 0+0:0:0:0:0, 3+0:0:0:0:1, 71+0:1:6:0:25
B minor (2#), 2+0:2:0:0:2, 4+0:2:0:0:3, 2+0:2:0:0:2, 4+0:2:0:0:3, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:2:0:0:2, 4+0:2:0:0:3, 3+0:2:0:0:2, 6+0:4:0:0:5, 3+0:2:0:0:2, 5+0:4:1:0:5, 2+0:2:0:0:2, 4+0:3:0:0:4, 4+0:1:0:0:1, 4+0:1:0:0:2, 6+0:5:0:0:5, 5+0:4:0:0:4, 4+0:2:0:0:3, 4+0:2:0:0:3, 6+0:6:2:0:6, 8+1:5:1:0:7, 5+0:3:0:0:4, 3+0:2:0:0:3, 4+0:2:0:0:3, 3+0:2:0:0:2, 6+0:4:0:0:5, 3+0:2:0:0:2, 5+0:4:1:0:5, 2+0:2:0:0:2, 5+0:3:0:0:4, 127+1:79:5:0:99
