 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, rowcost
C major (0), 4+1:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 4+1:0:1:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 68+6:0:7:0:9
A minor (0), 5+1:0:1:0:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:1, 5+1:0:1:0:4, 1+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:1:0:1, 6+0:0:0:0:2, 4+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:1, 5+1:0:1:0:4, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 5+1:0:1:0:4, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 5+1:0:1:0:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 5+1:0:1:0:4, 2+0:0:0:0:0, 7+0:0:0:0:3, 5+0:0:0:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 95+6:0:7:0:40
F major (1b), 5+1:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:2, 5+1:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:3:1:0:3, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 5+1:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 5+1:0:1:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 5+1:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 5+1:0:1:0:1, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 75+6:9:7:0:15
G major (1#), 5+1:4:1:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:0, 5+1:4:1:0:2, 1+0:0:0:0:0, 2+0:1:0:0:0, 2+0:0:1:0:2, 6+0:3:0:0:1, 4+0:2:0:0:0, 5+0:2:0:0:1, 1+0:1:0:0:0, 5+1:4:1:0:2, 1+0:0:0:0:0, 3+0:2:0:0:0, 1+0:1:0:0:0, 5+1:4:1:0:2, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 5+1:4:1:0:2, 2+0:1:0:0:0, 2+0:1:0:0:0, 1+0:1:0:0:0, 5+1:4:1:0:2, 2+0:1:0:0:0, 7+0:4:0:0:1, 5+0:3:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 85+6:50:7:0:18
D minor (1b), 5+1:0:1:0:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 5+1:0:1:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:3:1:0:2, 4+0:1:0:0:2, 3+0:1:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:0, 5+1:0:1:0:3, 1+0:0:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 5+1:0:1:0:3, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 5+1:0:1:0:3, 3+0:0:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 5+1:0:1:0:3, 3+0:0:0:0:0, 6+0:0:0:0:2, 4+0:0:0:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 93+6:13:7:0:27
E minor (1#), 6+1:4:1:0:4, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:1:0:0:1, 6+1:4:1:0:4, 2+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:1:0:1, 7+0:3:0:0:3, 4+0:2:0:0:2, 6+0:2:0:0:2, 2+0:1:0:0:1, 6+1:4:1:0:4, 2+0:0:0:0:0, 4+0:1:0:0:1, 2+0:1:0:0:1, 6+1:4:1:0:4, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:1, 6+1:4:1:0:4, 3+0:1:0:0:1, 3+0:0:0:0:0, 2+0:1:0:0:1, 6+1:4:1:0:4, 3+0:1:0:0:1, 8+0:4:0:0:4, 5+0:3:0:0:3, 1+0:0:0:0:0, 2+0:0:0:0:0, 108+6:48:7:0:49
Bb major (2b), 4+1:0:1:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 3+0:2:0:0:2, 4+1:0:1:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 4+0:3:1:0:4, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:1:0:0:1, 4+1:0:1:0:1, 1+0:0:0:0:1, 2+0:0:0:0:0, 1+0:1:0:0:1, 4+1:0:1:0:1, 3+0:0:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:1, 4+1:0:1:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:1:0:0:1, 4+1:0:1:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 68+6:9:7:0:22
D major (2#), 5+1:4:1:0:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 5+1:4:1:0:3, 2+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:1:0:2, 6+0:3:0:0:2, 5+0:2:0:0:0, 6+0:2:0:0:1, 2+0:1:0:0:0, 5+1:4:1:0:3, 1+0:0:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 5+1:4:1:0:3, 3+0:1:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:0, 5+1:4:1:0:3, 3+0:1:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:0, 5+1:4:1:0:3, 3+0:1:0:0:0, 8+0:4:0:0:2, 6+0:3:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 103+6:48:7:0:27
G minor (2b), 5+1:0:1:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 5+1:0:1:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:2:1:0:2, 5+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 5+1:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 5+1:0:1:0:2, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+1:0:1:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 5+1:0:1:0:2, 4+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 85+6:3:7:0:18
B minor (2#), 6+1:4:1:0:5, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:1, 6+1:4:1:0:5, 3+0:0:0:0:1, 4+0:1:0:0:2, 3+0:0:1:0:0, 6+0:3:0:0:5, 6+0:2:0:0:3, 7+0:2:0:0:4, 3+0:1:0:0:1, 6+1:4:1:0:5, 2+0:0:0:0:1, 4+0:1:0:0:2, 3+0:1:0:0:1, 6+1:4:1:0:5, 3+0:1:0:0:2, 3+0:0:0:0:1, 3+0:1:0:0:1, 6+1:4:1:0:5, 3+0:1:0:0:2, 4+0:0:0:0:1, 3+0:1:0:0:1, 6+1:4:1:0:5, 3+0:1:0:0:2, 9+0:4:0:0:5, 6+0:3:0:0:4, 1+0:0:0:0:1, 3+0:0:0:0:1, 126+6:48:7:0:73
