 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
C locrian (0), 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:2, 7+1:0:1:0:2, 4+0:0:1:0:2, 2+0:0:0:0:1, 10+2:0:2:1:5, 9+1:0:0:0:2, 6+0:0:1:0:3, 7+1:0:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 84+5:0:7:1:26
F major (1b), 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 8+0:0:1:0:2, 8+1:0:1:0:2, 5+0:0:1:0:2, 3+0:0:0:0:1, 10+2:0:2:1:5, 8+1:0:0:0:2, 6+0:0:1:0:3, 8+1:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 94+5:0:7:1:26
G major (1#), 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 10+0:0:1:0:2, 10+1:0:1:0:2, 7+0:0:1:0:2, 5+0:0:0:0:1, 10+2:0:2:1:5, 8+1:0:0:0:2, 6+0:0:1:0:3, 6+1:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 128+5:0:7:1:26
D minor (1b), 4+0:2:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 3+0:0:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:2, 4+0:0:0:0:2, 0+0:0:0:0:0, 4+0:2:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:3, 8+0:0:1:0:5, 9+1:1:1:0:4, 5+0:0:1:0:4, 3+0:0:0:0:2, 10+2:4:2:1:6, 9+1:1:0:0:2, 6+0:1:1:0:4, 9+1:3:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:2, 3+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 105+5:18:7:1:43
E minor (1#), 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:3:0:0:3, 5+0:2:0:0:2, 5+0:3:0:0:3, 5+0:3:0:0:3, 3+0:1:0:0:1, 5+0:2:0:0:2, 3+0:1:0:0:1, 6+0:3:1:0:3, 10+0:6:1:0:6, 10+1:6:1:0:6, 7+0:6:1:0:6, 5+0:3:0:0:3, 10+2:5:2:1:5, 8+2:3:0:0:3, 5+0:4:1:0:4, 5+1:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:3:0:0:3, 4+0:2:0:0:2, 5+0:3:0:0:3, 4+0:2:0:0:2, 3+0:1:0:0:1, 4+0:2:0:0:2, 136+6:70:7:1:70
D minor mel (1b), 4+0:2:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 4+0:0:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:2, 4+0:0:0:0:2, 1+0:0:0:0:0, 5+0:2:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:3, 9+0:0:1:0:5, 10+1:1:1:0:4, 6+0:0:1:0:4, 4+0:0:0:0:2, 10+2:4:2:1:6, 8+1:1:0:0:2, 5+0:1:1:0:4, 8+1:3:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:1, 4+0:1:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 118+5:18:7:1:43
E minor mel (1#), 5+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:3:0:0:3, 5+0:2:0:0:2, 5+0:3:0:0:3, 6+0:3:0:0:3, 3+0:1:0:0:1, 6+0:2:0:0:2, 4+0:1:0:0:1, 6+0:3:1:0:3, 10+0:6:1:0:6, 11+1:6:1:0:6, 7+0:6:1:0:6, 5+0:3:0:0:3, 10+2:5:2:1:5, 9+2:3:0:0:3, 5+0:4:1:0:4, 6+1:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:3:0:0:3, 4+0:2:0:0:2, 5+0:3:0:0:3, 5+0:2:0:0:2, 3+0:1:0:0:1, 5+0:2:0:0:2, 147+6:70:7:1:70
F major blues (1b), 4+0:1:0:0:1, 2+0:0:0:0:0, 6+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:1, 1+0:0:0:0:0, 5+0:0:1:0:1, 9+0:0:1:0:1, 9+1:1:1:0:2, 6+0:0:1:0:1, 4+0:0:0:0:0, 11+2:3:2:1:5, 9+1:1:0:0:1, 6+0:1:1:0:2, 8+1:3:0:0:3, 2+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 125+5:13:7:1:20
G major blues (1#), 5+0:2:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:0, 5+0:1:0:0:0, 5+0:3:0:0:2, 5+0:3:0:0:1, 2+0:0:0:0:0, 6+0:2:0:0:0, 3+0:0:0:0:0, 6+0:3:1:0:2, 10+0:6:1:0:3, 11+1:5:1:0:3, 7+0:5:1:0:3, 5+0:3:0:0:2, 10+2:6:2:1:6, 10+1:4:0:0:2, 7+0:3:1:0:4, 9+1:1:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:0, 5+0:3:0:0:2, 4+0:2:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:0, 147+5:60:7:1:33
D minor blues (1b), 4+0:1:0:0:1, 2+0:0:0:0:0, 6+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:1, 1+0:0:0:0:0, 5+0:0:1:0:1, 9+0:0:1:0:1, 9+1:1:1:0:2, 6+0:0:1:0:1, 4+0:0:0:0:0, 11+2:3:2:1:5, 9+1:1:0:0:1, 6+0:1:1:0:2, 8+1:3:0:0:3, 2+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 125+5:13:7:1:20
E minor blues (1#), 5+0:2:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:0, 5+0:1:0:0:0, 5+0:3:0:0:2, 5+0:3:0:0:1, 2+0:0:0:0:0, 6+0:2:0:0:0, 3+0:0:0:0:0, 6+0:3:1:0:2, 10+0:6:1:0:3, 11+1:5:1:0:3, 7+0:5:1:0:3, 5+0:3:0:0:2, 10+2:6:2:1:6, 10+1:4:0:0:2, 7+0:3:1:0:4, 9+1:1:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:0, 5+0:3:0:0:2, 4+0:2:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:0, 147+5:60:7:1:33
F dorian (1b), 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 9+0:0:1:0:2, 9+1:0:1:0:2, 6+0:0:1:0:2, 4+0:0:0:0:1, 10+2:0:2:1:5, 7+1:0:0:0:2, 5+0:0:1:0:3, 7+1:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 107+5:0:7:1:26
G dorian (1#), 5+0:2:0:0:0, 3+0:1:0:0:0, 3+0:2:0:0:0, 4+0:3:0:0:0, 4+0:2:0:0:0, 5+0:4:0:0:2, 5+0:3:0:0:1, 2+0:1:0:0:0, 6+0:3:0:0:0, 3+0:1:0:0:0, 6+0:4:1:0:2, 10+0:7:1:0:3, 11+1:6:1:0:3, 7+0:6:1:0:3, 5+0:4:0:0:2, 10+2:6:2:1:6, 9+1:4:0:0:2, 6+0:4:1:0:4, 7+1:1:0:0:2, 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:3:0:0:0, 3+0:2:0:0:0, 5+0:4:0:0:2, 4+0:2:0:0:1, 2+0:1:0:0:0, 4+0:2:0:0:0, 139+5:80:7:1:33
F phrygian (1b), 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:2, 7+1:0:1:0:2, 4+0:0:1:0:2, 2+0:0:0:0:1, 10+2:0:2:1:5, 9+1:0:0:0:2, 6+0:0:1:0:3, 7+1:0:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 84+5:0:7:1:26
G phrygian (1#), 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 9+0:0:1:0:2, 9+1:0:1:0:2, 6+0:0:1:0:2, 4+0:0:0:0:1, 10+2:0:2:1:5, 7+1:0:0:0:2, 5+0:0:1:0:3, 7+1:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 107+5:0:7:1:26
F lydian (1b), 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 9+0:0:1:0:2, 9+1:0:1:0:2, 6+0:0:1:0:2, 4+0:0:0:0:1, 10+2:0:2:1:5, 7+1:0:0:0:2, 5+0:0:1:0:3, 7+1:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 107+5:0:7:1:26
G lydian (1#), 5+0:2:0:0:0, 3+0:1:0:0:0, 3+0:2:0:0:0, 4+0:3:0:0:0, 4+0:2:0:0:0, 5+0:4:0:0:2, 5+0:3:0:0:1, 2+0:1:0:0:0, 6+0:3:0:0:0, 3+0:1:0:0:0, 6+0:4:1:0:2, 10+0:7:1:0:3, 11+1:6:1:0:3, 7+0:6:1:0:3, 5+0:4:0:0:2, 10+2:6:2:1:6, 9+1:4:0:0:2, 6+0:4:1:0:4, 7+1:1:0:0:2, 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:3:0:0:0, 3+0:2:0:0:0, 5+0:4:0:0:2, 4+0:2:0:0:1, 2+0:1:0:0:0, 4+0:2:0:0:0, 139+5:80:7:1:33
F mixolydian (1b), 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:2, 7+1:0:1:0:2, 4+0:0:1:0:2, 2+0:0:0:0:1, 10+2:0:2:1:5, 9+1:0:0:0:2, 6+0:0:1:0:3, 7+1:0:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 84+5:0:7:1:26
G mixolydian (1#), 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 9+0:0:1:0:2, 9+1:0:1:0:2, 6+0:0:1:0:2, 4+0:0:0:0:1, 10+2:0:2:1:5, 7+1:0:0:0:2, 5+0:0:1:0:3, 7+1:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 107+5:0:7:1:26
F aeolian (1b), 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 8+0:0:1:0:2, 8+1:0:1:0:2, 5+0:0:1:0:2, 3+0:0:0:0:1, 10+2:0:2:1:5, 8+1:0:0:0:2, 6+0:0:1:0:3, 8+1:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 94+5:0:7:1:26
G aeolian (1#), 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 10+0:0:1:0:2, 10+1:0:1:0:2, 7+0:0:1:0:2, 5+0:0:0:0:1, 10+2:0:2:1:5, 8+1:0:0:0:2, 6+0:0:1:0:3, 6+1:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 128+5:0:7:1:26
F locrian (1b), 3+0:1:0:0:1, 1+0:0:0:0:0, 5+0:1:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 0+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 6+1:1:1:0:2, 3+0:0:1:0:1, 2+0:0:0:0:0, 11+2:3:2:1:5, 8+1:1:0:0:1, 6+0:1:1:0:2, 7+1:3:0:0:3, 1+0:0:0:0:0, 4+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 83+5:13:7:1:20
G locrian (1#), 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 8+0:0:1:0:2, 8+1:0:1:0:2, 5+0:0:1:0:2, 3+0:0:0:0:1, 10+2:0:2:1:5, 8+1:0:0:0:2, 6+0:0:1:0:3, 8+1:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 94+5:0:7:1:26
Bb major (2b), 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:2, 7+1:0:1:0:2, 4+0:0:1:0:2, 2+0:0:0:0:1, 10+2:0:2:1:5, 9+1:0:0:0:2, 6+0:0:1:0:3, 7+1:0:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 84+5:0:7:1:26
D major (2#), 5+0:2:0:0:0, 3+0:1:0:0:0, 3+0:2:0:0:0, 4+0:3:0:0:0, 4+0:2:0:0:0, 5+0:4:0:0:2, 5+0:3:0:0:1, 2+0:1:0:0:0, 6+0:3:0:0:0, 3+0:1:0:0:0, 6+0:4:1:0:2, 10+0:7:1:0:3, 11+1:6:1:0:3, 7+0:6:1:0:3, 5+0:4:0:0:2, 10+2:6:2:1:6, 9+1:4:0:0:2, 6+0:4:1:0:4, 7+1:1:0:0:2, 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:3:0:0:0, 3+0:2:0:0:0, 5+0:4:0:0:2, 4+0:2:0:0:1, 2+0:1:0:0:0, 4+0:2:0:0:0, 139+5:80:7:1:33
G minor (2b), 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:2, 8+0:0:1:0:3, 8+1:0:1:0:3, 5+0:0:1:0:3, 3+0:0:0:0:2, 10+2:2:2:1:6, 10+1:1:0:0:2, 7+0:1:1:0:4, 6+1:2:0:0:2, 1+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 105+5:8:7:1:33
B minor (2#), 6+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:1, 4+0:3:0:0:3, 4+0:0:0:0:1, 5+0:3:0:0:4, 6+0:3:0:0:4, 2+0:1:0:0:2, 7+0:2:0:0:3, 3+0:1:0:0:2, 5+0:3:1:0:4, 10+0:6:1:0:7, 11+1:6:1:0:7, 7+0:6:1:0:7, 5+0:3:0:0:4, 11+2:5:2:1:4, 9+1:4:0:0:5, 6+0:4:1:0:5, 6+1:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:3:0:0:3, 3+0:2:0:0:3, 5+0:3:0:0:4, 5+0:2:0:0:3, 2+0:1:0:0:2, 5+0:2:0:0:3, 147+5:69:7:1:91
