 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, rowcost
C locrian (0), 0+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 0+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 5+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 4+0:0:1:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:2:0:2, 4+0:0:1:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 0+0:0:0:0:0, 137+0:0:17:0:20
F major (1b), 1+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:2, 1+0:0:0:0:0, 6+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 5+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:2:0:2, 5+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 181+0:0:17:0:20
G major (1#), 2+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:1, 3+0:0:0:0:0, 8+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:0, 6+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:1, 7+0:0:1:0:1, 6+0:0:1:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:1, 4+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 7+1:0:1:0:2, 7+0:0:1:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:1, 2+0:0:0:0:0, 269+1:0:16:0:19
D minor (1b), 2+0:0:0:0:0, 3+0:0:1:0:2, 6+0:0:1:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:1:0:2, 6+0:0:1:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 6+0:0:1:0:4, 2+0:0:0:0:0, 7+0:0:0:0:1, 6+0:1:0:0:1, 3+0:0:0:0:1, 7+0:0:0:0:2, 4+0:0:0:0:3, 2+0:0:0:0:0, 3+0:0:1:0:2, 6+0:0:1:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:1:0:2, 6+0:0:1:0:4, 4+0:0:1:0:3, 3+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:3, 4+0:1:0:0:0, 4+0:0:0:0:2, 1+0:0:0:0:0, 5+0:1:1:0:2, 5+0:0:1:0:3, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 4+0:2:0:0:0, 2+0:0:0:0:1, 5+0:0:0:0:1, 4+0:1:1:0:2, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 7+0:0:2:0:4, 5+0:0:1:0:3, 3+0:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:1:0:3, 1+0:0:0:0:0, 224+0:7:17:0:79
E minor (1#), 3+0:2:0:0:2, 4+0:3:1:0:3, 7+0:5:1:0:5, 4+0:2:0:0:2, 2+0:1:0:0:1, 4+0:2:0:0:2, 4+0:3:0:0:3, 4+0:2:0:0:2, 3+0:2:0:0:2, 4+0:3:1:0:3, 7+0:5:1:0:5, 4+0:2:0:0:2, 2+0:1:0:0:1, 4+0:2:0:0:2, 3+0:3:0:0:3, 4+0:3:0:0:3, 4+0:3:0:0:3, 6+0:4:1:0:4, 4+0:2:0:0:2, 9+0:5:0:0:5, 6+0:2:0:0:2, 4+0:2:0:0:2, 5+0:2:0:0:2, 7+0:4:0:0:4, 3+0:2:0:0:2, 4+0:3:1:0:3, 7+0:5:1:0:5, 4+0:2:0:0:2, 2+0:1:0:0:1, 4+0:2:0:0:2, 3+0:3:0:0:3, 4+0:2:0:0:2, 6+0:4:1:0:4, 7+0:6:1:0:6, 6+0:5:1:0:5, 5+0:2:0:0:2, 5+0:1:0:0:1, 7+0:4:0:0:4, 4+0:2:0:0:2, 6+0:3:0:0:3, 3+0:2:0:0:2, 4+0:3:1:0:3, 7+0:5:1:0:5, 4+0:2:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 6+0:2:0:0:2, 3+0:3:0:0:3, 3+0:3:0:0:3, 6+0:3:1:0:3, 5+0:2:0:0:2, 6+0:3:0:0:3, 5+0:2:0:0:2, 3+0:1:0:0:1, 3+0:2:0:0:2, 5+0:2:0:0:2, 5+0:2:0:0:2, 8+0:4:2:0:5, 7+0:5:1:0:5, 4+0:3:0:0:3, 3+0:1:0:0:1, 6+0:2:0:0:2, 4+0:4:0:0:4, 6+0:4:1:0:4, 2+0:2:0:0:2, 301+0:178:17:0:179
D minor mel (1b), 3+0:0:0:0:0, 3+0:0:1:0:2, 7+0:0:1:0:3, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:1:0:2, 7+0:0:1:0:3, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:1, 6+0:0:1:0:4, 3+0:0:0:0:0, 8+0:0:0:0:1, 5+0:1:0:0:1, 3+0:0:0:0:1, 6+0:0:0:0:2, 5+0:0:0:0:3, 3+0:0:0:0:0, 3+0:0:1:0:2, 7+0:0:1:0:3, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:1:0:2, 7+0:0:1:0:4, 5+0:0:1:0:3, 4+0:0:0:0:1, 4+0:0:0:0:0, 6+0:0:0:0:3, 5+0:1:0:0:0, 5+0:0:0:0:2, 2+0:0:0:0:0, 5+0:1:1:0:2, 6+0:0:1:0:3, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 5+0:2:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 4+0:1:1:0:2, 4+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 6+1:0:1:0:2, 6+0:0:1:0:3, 4+0:0:0:0:2, 2+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 6+0:0:1:0:3, 2+0:0:0:0:0, 264+1:7:16:0:77
E minor mel (1#), 4+0:2:0:0:2, 4+0:3:1:0:3, 8+0:5:1:0:5, 5+0:2:0:0:2, 3+0:1:0:0:1, 5+0:2:0:0:2, 5+0:3:0:0:3, 5+0:2:0:0:2, 4+0:2:0:0:2, 4+0:3:1:0:3, 8+0:5:1:0:5, 5+0:2:0:0:2, 3+0:1:0:0:1, 5+0:2:0:0:2, 3+0:3:0:0:3, 5+0:3:0:0:3, 5+0:3:0:0:3, 6+0:4:1:0:4, 5+0:2:0:0:2, 10+0:4:0:0:4, 7+0:2:0:0:2, 5+0:2:0:0:2, 6+0:2:0:0:2, 7+0:4:0:0:4, 4+0:2:0:0:2, 4+0:3:1:0:3, 8+0:5:1:0:5, 5+0:2:0:0:2, 3+0:1:0:0:1, 5+0:2:0:0:2, 3+0:3:0:0:3, 4+0:2:0:0:2, 7+0:4:1:0:4, 7+0:6:1:0:6, 6+0:5:1:0:5, 6+0:2:0:0:2, 6+0:1:0:0:1, 8+0:4:0:0:4, 5+0:2:0:0:2, 7+0:3:0:0:3, 3+0:2:0:0:2, 4+0:3:1:0:3, 7+0:5:1:0:5, 5+0:2:0:0:2, 5+0:2:0:0:2, 5+0:2:0:0:2, 6+0:2:0:0:2, 3+0:3:0:0:3, 4+0:3:0:0:3, 6+0:3:1:0:3, 6+0:2:0:0:2, 7+0:3:0:0:3, 6+0:2:0:0:2, 4+0:1:0:0:1, 4+0:2:0:0:2, 5+0:2:0:0:2, 5+0:2:0:0:2, 8+0:4:2:0:5, 7+0:5:1:0:5, 5+0:3:0:0:3, 4+0:1:0:0:1, 7+0:2:0:0:2, 4+0:3:0:0:3, 7+0:4:1:0:4, 2+0:2:0:0:2, 344+0:176:17:0:177
F major blues (1b), 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:1, 2+0:0:0:0:0, 7+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 5+0:0:1:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:1:0:2, 6+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 7+0:1:2:0:2, 6+0:0:1:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 246+0:2:17:0:18
G major blues (1#), 3+0:1:0:0:0, 4+0:3:1:0:1, 8+0:4:1:0:2, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 5+0:2:0:0:0, 4+0:1:0:0:0, 3+0:1:0:0:0, 4+0:3:1:0:1, 8+0:4:1:0:2, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 3+0:2:0:0:0, 5+0:2:0:0:1, 6+0:2:0:0:0, 7+0:4:1:0:2, 4+0:1:0:0:0, 9+0:3:0:0:1, 7+0:3:0:0:1, 4+0:2:0:0:0, 8+0:3:0:0:0, 6+0:3:0:0:1, 3+0:1:0:0:0, 4+0:3:1:0:1, 8+0:4:1:0:2, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 3+0:2:0:0:0, 3+0:1:0:0:0, 6+0:3:1:0:1, 7+0:5:1:0:2, 6+0:4:1:0:2, 5+0:1:0:0:0, 5+0:1:0:0:0, 7+0:3:0:0:1, 5+0:1:0:0:0, 6+0:2:0:0:0, 3+0:1:0:0:0, 5+0:3:1:0:1, 7+0:4:1:0:2, 5+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 6+0:2:0:0:0, 3+0:2:0:0:1, 5+0:2:0:0:0, 5+0:3:1:0:1, 5+0:1:0:0:0, 6+0:2:0:0:0, 5+0:1:0:0:0, 3+0:1:0:0:0, 5+0:2:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 8+0:4:2:0:3, 7+0:4:1:0:2, 5+0:2:0:0:1, 3+0:1:0:0:0, 6+0:2:0:0:0, 5+0:2:0:0:0, 7+0:4:1:0:2, 2+0:1:0:0:0, 324+0:133:17:0:34
D minor blues (1b), 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:1, 2+0:0:0:0:0, 7+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 5+0:0:1:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:1:0:2, 6+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 7+0:1:2:0:2, 6+0:0:1:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 246+0:2:17:0:18
E minor blues (1#), 3+0:1:0:0:0, 4+0:3:1:0:1, 8+0:4:1:0:2, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 5+0:2:0:0:0, 4+0:1:0:0:0, 3+0:1:0:0:0, 4+0:3:1:0:1, 8+0:4:1:0:2, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 3+0:2:0:0:0, 5+0:2:0:0:1, 6+0:2:0:0:0, 7+0:4:1:0:2, 4+0:1:0:0:0, 9+0:3:0:0:1, 7+0:3:0:0:1, 4+0:2:0:0:0, 8+0:3:0:0:0, 6+0:3:0:0:1, 3+0:1:0:0:0, 4+0:3:1:0:1, 8+0:4:1:0:2, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 3+0:2:0:0:0, 3+0:1:0:0:0, 6+0:3:1:0:1, 7+0:5:1:0:2, 6+0:4:1:0:2, 5+0:1:0:0:0, 5+0:1:0:0:0, 7+0:3:0:0:1, 5+0:1:0:0:0, 6+0:2:0:0:0, 3+0:1:0:0:0, 5+0:3:1:0:1, 7+0:4:1:0:2, 5+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 6+0:2:0:0:0, 3+0:2:0:0:1, 5+0:2:0:0:0, 5+0:3:1:0:1, 5+0:1:0:0:0, 6+0:2:0:0:0, 5+0:1:0:0:0, 3+0:1:0:0:0, 5+0:2:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 8+0:4:2:0:3, 7+0:4:1:0:2, 5+0:2:0:0:1, 3+0:1:0:0:0, 6+0:2:0:0:0, 5+0:2:0:0:0, 7+0:4:1:0:2, 2+0:1:0:0:0, 324+0:133:17:0:34
F dorian (1b), 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 2+0:0:0:0:0, 7+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 5+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:1, 6+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+1:0:1:0:2, 6+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 221+1:0:16:0:20
G dorian (1#), 3+0:2:0:0:0, 4+0:3:1:0:1, 8+0:5:1:0:2, 4+0:2:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 5+0:3:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 4+0:3:1:0:1, 8+0:5:1:0:2, 4+0:2:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 3+0:3:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:0, 6+0:4:1:0:2, 4+0:2:0:0:0, 9+0:4:0:0:0, 6+0:3:0:0:1, 4+0:2:0:0:0, 7+0:4:0:0:0, 6+0:4:0:0:1, 3+0:2:0:0:0, 4+0:3:1:0:1, 8+0:5:1:0:2, 4+0:2:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 3+0:3:0:0:0, 3+0:2:0:0:0, 6+0:4:1:0:1, 7+0:6:1:0:2, 6+0:5:1:0:2, 5+0:2:0:0:0, 5+0:2:0:0:0, 7+0:4:0:0:1, 4+0:2:0:0:0, 6+0:3:0:0:0, 3+0:2:0:0:0, 4+0:3:1:0:1, 7+0:5:1:0:2, 5+0:2:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:0, 6+0:3:0:0:0, 3+0:3:0:0:1, 4+0:3:0:0:0, 5+0:3:1:0:1, 5+0:2:0:0:0, 6+0:3:0:0:0, 5+0:2:0:0:0, 3+0:1:0:0:0, 5+0:3:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:0, 7+1:4:1:0:1, 7+0:5:1:0:2, 5+0:3:0:0:1, 3+0:1:0:0:0, 6+0:3:0:0:0, 4+0:3:0:0:0, 7+0:5:1:0:2, 2+0:2:0:0:0, 312+1:184:16:0:31
F phrygian (1b), 0+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 0+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 5+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 4+0:0:1:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:2:0:2, 4+0:0:1:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 0+0:0:0:0:0, 137+0:0:17:0:20
G phrygian (1#), 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 2+0:0:0:0:0, 7+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 5+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:1, 6+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+1:0:1:0:2, 6+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 221+1:0:16:0:20
