 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, rowcost
C locrian (0), 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 8+0:0:2:2:5, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 8+0:0:2:2:5, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 65+0:0:6:4:24
F major (1b), 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1, 8+0:0:2:2:5, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1, 8+0:0:2:2:5, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 57+0:0:6:4:24
G major (1#), 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:1:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:2:2:5, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 3+0:0:1:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:2:2:5, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 83+0:0:6:4:22
D minor (1b), 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:1:0:1, 2+0:0:0:0:2, 2+0:0:0:0:1, 8+0:1:2:2:6, 1+0:0:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:1:0:1, 2+0:0:0:0:2, 2+0:0:0:0:1, 8+0:1:2:2:6, 1+0:0:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 78+0:14:6:4:23
E minor (1#), 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 5+0:3:0:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:2:1:0:2, 4+0:3:0:0:3, 1+0:0:0:0:0, 7+0:7:2:2:5, 4+0:2:0:0:2, 4+0:1:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 5+0:3:0:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:1:0:2, 4+0:3:0:0:3, 1+0:0:0:0:0, 7+0:7:2:2:5, 4+0:2:0:0:2, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:1, 4+0:2:0:0:2, 1+0:0:0:0:0, 98+0:46:6:4:42
D minor mel (1b), 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:0, 3+0:0:1:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 8+0:1:2:2:6, 2+0:0:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:0, 3+0:0:1:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 8+0:1:2:2:6, 2+0:0:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 91+0:14:6:4:23
E minor mel (1#), 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 5+0:3:0:0:3, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:2:1:0:2, 4+0:3:0:0:3, 2+0:0:0:0:0, 7+0:7:2:2:5, 4+0:1:0:0:1, 5+0:1:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 5+0:3:0:0:3, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:1:0:2, 4+0:3:0:0:3, 2+0:0:0:0:0, 7+0:7:2:2:5, 4+0:1:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:1, 5+0:2:0:0:2, 2+0:0:0:0:0, 119+0:44:6:4:40
F major blues (1b), 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 6+0:0:0:0:0, 2+0:1:0:0:1, 3+0:2:0:0:2, 2+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 8+0:1:2:2:5, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 6+0:0:0:0:0, 2+0:1:0:0:1, 3+0:2:0:0:2, 2+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 8+0:1:2:2:5, 2+0:0:0:0:0, 5+0:1:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 107+0:16:6:4:26
G major blues (1#), 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:2:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:1:0:1, 4+0:2:0:0:1, 3+0:0:0:0:0, 8+0:7:2:2:5, 4+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:2:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:1:0:1, 4+0:2:0:0:1, 3+0:0:0:0:0, 8+0:7:2:2:5, 4+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 116+0:27:6:4:22
D minor blues (1b), 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 6+0:0:0:0:0, 2+0:1:0:0:1, 3+0:2:0:0:2, 2+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 8+0:1:2:2:5, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 6+0:0:0:0:0, 2+0:1:0:0:1, 3+0:2:0:0:2, 2+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 8+0:1:2:2:5, 2+0:0:0:0:0, 5+0:1:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 107+0:16:6:4:26
E minor blues (1#), 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:2:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:1:0:1, 4+0:2:0:0:1, 3+0:0:0:0:0, 8+0:7:2:2:5, 4+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:2:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:1:0:1, 4+0:2:0:0:1, 3+0:0:0:0:0, 8+0:7:2:2:5, 4+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 116+0:27:6:4:22
F dorian (1b), 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:1, 8+0:0:2:2:5, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:1, 8+0:0:2:2:5, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 70+0:0:6:4:24
G dorian (1#), 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 1+0:1:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 5+0:3:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:2:1:0:1, 4+0:3:0:0:1, 2+0:0:0:0:0, 8+0:7:2:2:5, 3+0:1:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 1+0:1:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 5+0:3:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:1:0:1, 4+0:3:0:0:1, 2+0:0:0:0:0, 8+0:7:2:2:5, 3+0:1:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 2+0:0:0:0:0, 104+0:44:6:4:22
F phrygian (1b), 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 8+0:0:2:2:5, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 8+0:0:2:2:5, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 65+0:0:6:4:24
G phrygian (1#), 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:1, 8+0:0:2:2:5, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:1, 8+0:0:2:2:5, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 70+0:0:6:4:24
F lydian (1b), 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:1, 8+0:0:2:2:5, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:1, 8+0:0:2:2:5, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 70+0:0:6:4:24
G lydian (1#), 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 1+0:1:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 5+0:3:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:2:1:0:1, 4+0:3:0:0:1, 2+0:0:0:0:0, 8+0:7:2:2:5, 3+0:1:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 1+0:1:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 5+0:3:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:1:0:1, 4+0:3:0:0:1, 2+0:0:0:0:0, 8+0:7:2:2:5, 3+0:1:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 2+0:0:0:0:0, 104+0:44:6:4:22
F mixolydian (1b), 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 8+0:0:2:2:5, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 8+0:0:2:2:5, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 65+0:0:6:4:24
