 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, rowcost
C major (0), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:1, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+4:0:0:0:1, 1+0+1:0:0:0:1, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:1, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 38+0+32:0:0:0:4
A minor (0), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+4:0:0:0:1, 1+0+1:0:0:0:1, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 39+0+31:0:0:0:2
F major (1b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:1, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 1+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+3:0:0:0:1, 2+0+2:0:0:0:1, 1+0+4:0:0:0:1, 2+0+1:0:0:0:1, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 45+0+33:0:0:0:5
G major (1#), 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:1, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 4+0+3:0:0:0:0, 3+0+2:0:0:0:0, 3+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+3:0:0:0:1, 2+0+3:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+4:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 54+0+36:0:0:0:2
D minor (1b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 4+0+3:0:0:0:0, 0+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 1+0+4:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 2+0+1:1:0:0:1, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 5+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 47+0+34:1:0:0:1
E minor (1#), 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+4:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+3:0:1:0:1, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 4+0+6:0:0:0:0, 3+0+2:0:0:0:0, 3+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+5:0:0:0:0, 1+0+2:0:0:0:0, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+4:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 54+0+49:0:1:0:1
Bb major (2b), 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:1, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+3:0:0:0:0, 3+0+2:0:0:0:1, 2+0+4:1:0:0:1, 3+0+3:0:0:0:0, 3+0+1:1:0:0:1, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 4+0+3:1:1:0:2, 1+0+0:0:0:0:0, 1+0+1:0:0:0:1, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 58+0+38:3:1:0:7
D major (2#), 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 6+0+3:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+3:0:0:0:1, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 5+0+3:0:0:0:0, 4+0+4:0:0:0:0, 4+0+1:0:0:0:0, 2+0+1:0:0:0:0, 3+0+3:0:0:0:1, 1+0+3:0:0:0:0, 2+0+1:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:1, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 90+0+36:0:0:0:3
G minor (2b), 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 3+0+3:0:0:0:0, 2+0+3:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:1, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+3:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+4:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 6+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 64+0+37:0:0:0:1
B minor (2#), 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 5+0+3:0:1:0:1, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+2:0:0:0:0, 3+0+3:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 5+0+4:0:0:0:0, 4+0+4:0:0:0:0, 4+0+1:0:0:0:0, 2+0+1:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 90+0+46:0:1:0:1
