 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, rowcost
C locrian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
F major (1b), 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 5+0+3:3:0:0:1, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 6+0+2:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0,  , 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+4:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 5+0+5:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0,  , 2+0+1:0:0:0:0, 2+0+1:1:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0,  , 1+0+1:1:0:0:1, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 86+0+50:5:0:0:2
G major (1#), 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+2:0:0:0:0, 2+0+2:0:0:0:0, 5+0+2:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0,  , 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 5+0+2:0:0:0:0, 3+0+3:3:0:0:1, 4+0+2:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:1:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0,  , 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+4:4:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0,  , 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+0:0:0:0:0, 5+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0,  , 1+0+0:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 8+0+3:0:0:0:0, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0,  , 1+0+1:1:0:0:1, 1+0+1:1:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0,  , 3+0+1:1:0:0:1, 2+0+1:1:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:2:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 134+0+47:14:0:0:3
D minor (1b), 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 5+0+3:3:0:0:1, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 7+0+3:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0,  , 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+4:3:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 5+0+3:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0,  , 3+0+1:0:0:0:0, 2+0+1:1:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0,  , 1+0+1:1:0:0:1, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 90+0+47:8:0:0:2
E minor (1#), 4+0+3:0:0:0:0, 2+0+0:0:0:0:0, 5+0+3:0:0:0:0, 2+0+2:0:0:0:0, 6+0+4:0:0:0:0, 3+0+1:1:0:0:0, 2+0+2:0:0:0:0,  , 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 5+0+2:0:0:0:0, 4+0+3:0:0:0:0, 4+0+2:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:1:0:0:0, 1+0+0:0:0:0:0, 2+0+3:1:0:0:0, 5+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0,  , 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 4+0+4:4:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0,  , 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:1:0:0:0, 3+0+1:0:0:0:0, 5+0+2:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0,  , 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 7+0+5:0:0:0:3, 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0,  , 1+0+1:1:0:0:1, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0,  , 3+0+1:0:0:0:0, 2+0+1:1:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:2:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 138+0+61:12:0:0:4
D minor mel (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
E minor mel (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
F major blues (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
G major blues (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
D minor blues (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
E minor blues (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
F dorian (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
G dorian (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
F phrygian (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
G phrygian (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
F lydian (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
G lydian (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
F mixolydian (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
G mixolydian (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
F aeolian (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
G aeolian (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
F locrian (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
G locrian (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0+0:0:0:0:0
Bb major (2b), 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:0:0:0:0, 4+0+3:2:0:0:1, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:1:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 5+0+2:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0,  , 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 4+0+4:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0,  , 0+0+0:0:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 6+0+3:0:0:0:0, 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0,  , 2+0+1:1:0:0:1, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0,  , 1+0+1:1:0:0:1, 2+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:2:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 84+0+45:7:0:0:3
D major (2#), 4+0+3:0:0:0:0, 3+0+0:0:0:0:0, 4+0+2:0:0:0:0, 3+0+2:0:0:0:0, 5+0+2:0:0:0:0, 4+0+1:0:0:0:0, 3+0+0:0:0:0:0,  , 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 5+0+2:0:0:0:0, 4+0+3:2:0:0:0, 5+0+2:0:0:0:0, 3+0+0:0:0:0:0, 5+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:1:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+3:1:0:0:0, 4+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0,  , 4+0+1:0:0:0:0, 4+0+0:0:0:0:0, 5+0+4:4:0:0:0, 5+0+1:0:0:0:0, 1+0+0:0:0:0:0,  , 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:1:0:0:0, 5+0+1:0:0:0:0, 5+0+2:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0,  , 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 10+0+3:0:0:0:0, 3+0+1:0:0:0:0, 5+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0,  , 1+0+1:0:0:0:0, 2+0+1:1:0:0:0, 2+0+2:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0,  , 4+0+1:1:0:0:1, 3+0+1:1:0:0:1, 5+0+1:0:0:0:0, 3+0+0:0:0:0:0, 3+0+2:2:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 172+0+53:14:0:0:2
