 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, rowcost
C major (0), 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 7+0:0:0:0:2, 4+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 7+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 201+0:0:1:0:9
A minor (0), 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:1, 6+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:1, 6+0:0:0:0:1, 6+0:0:0:0:3, 4+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:2, 7+0:0:0:0:2, 5+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:0, 3+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 4+0:0:0:0:3, 5+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 7+0:0:0:0:3, 8+0:0:0:0:3, 6+0:0:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 5+0:0:0:0:3, 1+0:0:0:0:0, 5+0:0:1:0:4, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 233+0:0:1:0:89
F major (1b), 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 6+0:2:0:0:2, 3+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:1, 6+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 150+0:9:1:0:10
G major (1#), 5+0:3:0:0:0, 5+0:3:0:0:0, 5+0:2:0:0:0, 3+0:2:0:0:0, 6+0:4:0:0:1, 5+0:3:0:0:1, 5+0:2:0:0:0, 5+0:3:0:0:0, 3+0:2:0:0:0, 5+0:3:0:0:0, 3+0:2:0:0:0, 5+0:3:0:0:0, 5+0:3:0:0:0, 5+0:3:0:0:0, 5+0:2:0:0:0, 6+0:2:0:0:0, 6+0:4:0:0:2, 3+0:3:0:0:1, 3+0:2:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 5+0:3:0:0:0, 3+0:2:0:0:0, 6+0:3:0:0:0, 8+0:3:0:0:0, 5+0:2:0:0:0, 6+0:2:0:0:1, 4+0:2:0:0:0, 4+0:3:0:0:1, 3+0:3:0:0:1, 4+0:1:0:0:0, 3+0:2:0:0:0, 2+0:2:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 5+0:4:0:0:1, 6+0:3:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 7+0:4:0:0:1, 6+0:4:0:0:1, 6+0:3:0:0:0, 5+0:3:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 2+0:1:0:0:0, 4+0:2:0:0:0, 4+0:3:0:0:1, 3+0:2:0:0:0, 3+0:2:0:0:0, 3+0:3:0:0:1, 5+0:4:0:0:1, 2+0:1:0:0:0, 6+0:3:1:0:2, 2+0:2:0:0:0, 4+0:2:0:0:1, 3+0:1:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 250+0:146:1:0:17
D minor (1b), 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 5+0:1:0:0:1, 4+0:0:0:0:1, 4+0:1:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:1:0:0:1, 5+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:1, 5+0:0:0:0:1, 7+0:0:0:0:1, 4+0:1:0:0:1, 5+0:1:0:0:2, 3+0:1:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:1:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 6+0:1:0:0:2, 6+0:2:0:0:2, 5+0:0:0:0:1, 4+0:0:0:0:1, 3+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 0+0:0:0:0:0, 6+0:2:1:0:3, 2+0:0:0:0:0, 5+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 180+0:17:1:0:52
E minor (1#), 6+0:3:0:0:3, 6+0:3:0:0:3, 6+0:2:0:0:2, 4+0:2:0:0:2, 6+0:3:0:0:3, 5+0:3:0:0:3, 6+0:2:0:0:2, 6+0:3:0:0:3, 4+0:1:0:0:1, 5+0:1:0:0:1, 4+0:2:0:0:2, 6+0:3:0:0:3, 6+0:3:0:0:3, 6+0:3:0:0:3, 6+0:2:0:0:2, 7+0:2:0:0:2, 6+0:4:0:0:4, 3+0:3:0:0:3, 4+0:2:0:0:2, 2+0:0:0:0:0, 2+0:1:0:0:1, 5+0:1:0:0:1, 4+0:2:0:0:2, 7+0:3:0:0:3, 9+0:3:0:0:3, 6+0:2:0:0:2, 7+0:2:0:0:2, 5+0:2:0:0:2, 4+0:3:0:0:3, 3+0:3:0:0:3, 5+0:1:0:0:1, 4+0:2:0:0:2, 3+0:2:0:0:2, 5+0:1:0:0:1, 5+0:2:0:0:2, 2+0:1:0:0:1, 6+0:4:0:0:4, 7+0:2:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 7+0:4:0:0:4, 6+0:4:0:0:4, 7+0:3:0:0:3, 6+0:3:0:0:3, 3+0:1:0:0:1, 4+0:2:0:0:2, 4+0:2:0:0:2, 3+0:1:0:0:1, 5+0:2:0:0:2, 4+0:3:0:0:3, 4+0:2:0:0:2, 4+0:2:0:0:2, 3+0:3:0:0:3, 5+0:4:0:0:4, 3+0:1:0:0:1, 7+0:3:1:0:3, 3+0:1:0:0:1, 5+0:2:0:0:2, 4+0:1:0:0:1, 4+0:1:0:0:1, 4+0:2:0:0:2, 296+0:135:1:0:135
Bb major (2b), 2+0:1:0:0:1, 2+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 5+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:1:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 114+0:8:1:0:16
D major (2#), 4+0:3:0:0:1, 4+0:3:0:0:1, 4+0:2:0:0:1, 3+0:2:0:0:1, 7+0:3:0:0:1, 6+0:3:0:0:1, 6+0:2:0:0:1, 6+0:3:0:0:1, 4+0:2:0:0:0, 6+0:2:0:0:0, 4+0:2:0:0:1, 6+0:3:0:0:1, 4+0:3:0:0:1, 4+0:3:0:0:1, 4+0:2:0:0:1, 5+0:2:0:0:1, 7+0:4:0:0:2, 3+0:3:0:0:1, 3+0:2:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:0, 6+0:2:0:0:0, 4+0:2:0:0:1, 7+0:3:0:0:1, 9+0:3:0:0:1, 6+0:2:0:0:1, 7+0:2:0:0:2, 5+0:2:0:0:1, 4+0:3:0:0:1, 3+0:3:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:1, 3+0:2:0:0:0, 5+0:2:0:0:0, 5+0:2:0:0:1, 3+0:1:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:1, 4+0:2:0:0:1, 8+0:4:0:0:2, 6+0:4:0:0:2, 7+0:3:0:0:1, 6+0:3:0:0:1, 3+0:2:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:1, 3+0:1:0:0:0, 5+0:2:0:0:1, 5+0:3:0:0:1, 4+0:2:0:0:1, 3+0:2:0:0:1, 4+0:3:0:0:1, 6+0:4:0:0:2, 2+0:1:0:0:0, 7+0:3:1:0:3, 3+0:2:0:0:0, 5+0:2:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:1, 280+0:142:1:0:52
G minor (2b), 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:1:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:0, 6+0:1:0:0:0, 4+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:1:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:2:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:1, 3+0:1:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 4+0:1:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 6+0:0:1:0:2, 0+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 163+0:17:1:0:16
B minor (2#), 4+0:3:0:0:4, 4+0:3:0:0:4, 4+0:2:0:0:3, 3+0:2:0:0:3, 7+0:4:0:0:5, 6+0:3:0:0:4, 6+0:2:0:0:3, 6+0:3:0:0:4, 3+0:1:0:0:1, 7+0:1:0:0:2, 4+0:2:0:0:3, 6+0:3:0:0:4, 4+0:3:0:0:4, 4+0:3:0:0:4, 4+0:2:0:0:3, 5+0:2:0:0:3, 7+0:4:0:0:5, 3+0:3:0:0:3, 3+0:2:0:0:3, 1+0:0:0:0:1, 3+0:1:0:0:1, 7+0:1:0:0:2, 4+0:2:0:0:3, 7+0:3:0:0:4, 9+0:3:0:0:4, 6+0:2:0:0:3, 7+0:2:0:0:3, 5+0:2:0:0:3, 4+0:3:0:0:4, 3+0:3:0:0:3, 4+0:1:0:0:2, 5+0:2:0:0:3, 3+0:1:0:0:1, 6+0:1:0:0:2, 5+0:2:0:0:3, 4+0:1:0:0:2, 5+0:2:0:0:3, 5+0:2:0:0:3, 3+0:2:0:0:3, 4+0:2:0:0:3, 8+0:4:0:0:5, 6+0:4:0:0:5, 7+0:3:0:0:4, 6+0:3:0:0:4, 2+0:1:0:0:1, 5+0:2:0:0:3, 3+0:2:0:0:3, 4+0:1:0:0:2, 5+0:2:0:0:3, 5+0:3:0:0:4, 4+0:2:0:0:3, 3+0:2:0:0:3, 4+0:3:0:0:3, 6+0:4:0:0:5, 3+0:1:0:0:2, 8+0:3:1:0:4, 2+0:1:0:0:1, 6+0:2:0:0:3, 4+0:1:0:0:2, 5+0:1:0:0:2, 4+0:2:0:0:3, 290+0:133:1:0:186
