 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26
C major (0), C major (0), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb minor (6b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), C major (0), A minor (0), C major (0), C major (0), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb minor (6b), C minor (3b), C minor (3b), C minor (3b)
A minor (0), C major (0), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb minor (6b), C minor (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), C major (0), C minor (3b), C minor (3b), C major (0), A minor (0), A minor (0), A minor (0), C major (0), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb minor (6b), C minor (3b), C minor (3b), C minor (3b)
F major (1b), C major (0), Bb major (2b), Bb major (2b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), C major (0), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), F major (1b), F minor (4b), C major (0), C major (0), Bb major (2b), Bb major (2b), F minor (4b), F minor (4b), F minor (4b), C major (0), Bb major (2b), Bb major (2b)
G major (1#), G major (1#), G minor (2b), G minor (2b), G minor (2b), Eb major (3b), Eb minor (6b), C minor (3b), C minor (3b), G minor (2b), Bb major (2b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), G major (1#), C major (0), A minor (0), C major (0), G major (1#), G minor (2b), G minor (2b), G minor (2b), Eb major (3b), Eb minor (6b), C minor (3b), C minor (3b), G minor (2b)
D minor (1b), D major (2#), G minor (2b), G minor (2b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), G minor (2b), Bb major (2b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), D minor (1b), D minor (1b), A minor (0), A minor (0), D minor (1b), G minor (2b), G minor (2b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), G minor (2b)
E minor (1#), E minor (1#), A minor (0), E minor (1#), B minor (2#), B minor (2#), B major (5#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), A minor (0), E minor (1#), E minor (1#), A minor (0), A minor (0), A minor (0), E minor (1#), E minor (1#), A minor (0), E minor (1#), B minor (2#), B minor (2#), B major (5#), B minor (2#), F# major (6#), E major (4#)
Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), C major (0), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb major (3b), Bb major (2b)
D major (2#), G major (1#), G minor (2b), G minor (2b), B minor (2#), B minor (2#), B major (5#), D major (2#), D minor (1b), G minor (2b), Bb major (2b), G minor (2b), G major (1#), G minor (2b), G minor (2b), D minor (1b), D minor (1b), A minor (0), G major (1#), G major (1#), G minor (2b), G minor (2b), B minor (2#), B minor (2#), B major (5#), B minor (2#), F# major (6#), B major (5#)
G minor (2b), G major (1#), G minor (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb minor (6b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), G major (1#), G minor (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb minor (6b), C minor (3b), C minor (3b), G minor (2b)
B minor (2#), E minor (1#), A minor (0), E minor (1#), B minor (2#), B minor (2#), B major (5#), B minor (2#), F# major (6#), G# minor (5#), F# major (6#), B major (5#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), F# minor (3#), F# minor (3#), E minor (1#), E minor (1#), A minor (0), E minor (1#), B minor (2#), B minor (2#), B major (5#), B minor (2#), F# major (6#), B major (5#)
Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), C major (0), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb major (3b)
A major (3#), D major (2#), A minor (0), E major (4#), G# minor (5#), G# minor (5#), F# major (6#), F# minor (3#), F# major (6#), E major (4#), F# major (6#), F# major (6#), F# minor (3#), C# minor (4#), E major (4#), A major (3#), A minor (0), A minor (0), A minor (0), C major (0), A minor (0), E major (4#), G# minor (5#), G# minor (5#), F# major (6#), F# minor (3#), F# major (6#), F# major (6#)
