 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, rowcost
Eb major (3b), 2+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:2, 5+0:1:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 5+0:1:0:0:3, 4+0:0:0:0:2, 2+0:0:0:0:2, 3+0:0:0:0:2, 5+0:1:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 6+0:2:0:0:5, 4+0:1:0:0:3, 6+0:2:0:0:4, 4+0:2:0:0:3, 6+0:2:0:0:4, 5+0:1:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:2, 3+0:0:0:0:2, 5+0:1:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:1, 4+0:0:0:0:1, 4+0:1:0:0:3, 4+0:0:0:0:1, 3+0:1:0:0:2, 2+0:0:0:0:0, 5+0:1:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 5+0:1:0:0:3, 5+0:0:0:0:2, 2+0:1:0:0:2, 7+0:0:0:0:1, 2+0:1:0:0:2, 3+0:0:0:0:1, 6+0:2:0:0:5, 4+0:1:0:0:3, 5+0:2:0:0:4, 5+0:3:0:0:4, 6+0:2:0:0:4, 4+0:1:0:0:3, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 4+0:1:0:0:3, 3+0:0:0:0:1, 2+0:1:0:0:2, 4+0:0:0:0:1, 1+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 5+0:2:0:0:4, 7+0:0:0:0:2, 3+0:1:0:0:2, 6+0:0:0:0:1, 4+0:1:0:0:3, 2+0:0:0:0:1, 1+0:0:0:0:1, 3+0:0:0:0:2, 5+0:1:0:0:3, 5+0:1:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:2, 1+0:0:0:0:1, 5+0:2:0:0:4, 4+0:1:0:0:3, 6+0:3:0:0:5, 4+0:1:0:0:3, 4+0:1:0:0:3, 5+0:1:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 8+0:1:0:0:4, 2+0:0:0:0:1, 4+0:1:0:0:2, 5+0:0:0:0:1, 2+0:1:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:1, 337+0:53:0:0:196
A major (3#), 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:1, 2+0:1:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:1, 3+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:1, 4+0:1:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:0:0:1, 1+0:0:0:0:0, 5+0:1:0:0:2, 5+0:1:0:0:0, 6+0:2:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 5+0:1:0:0:0, 5+0:1:0:0:0, 7+1:3:0:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 4+0:1:0:0:0, 6+0:2:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:1:0:0:0, 7+0:3:0:0:2, 6+1:2:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:0:0:1, 5+0:2:0:0:1, 5+0:2:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 8+0:1:0:0:0, 4+0:1:0:0:1, 7+0:1:0:0:0, 5+1:2:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 322+3:50:0:0:22
C minor (3b), 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:1, 3+0:1:0:0:1, 6+0:2:0:0:1, 4+0:2:0:0:2, 5+0:2:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 4+0:0:0:0:0, 3+0:1:0:0:1, 8+0:0:0:0:0, 2+0:1:0:0:1, 3+0:1:0:0:0, 5+0:2:0:0:1, 3+0:1:0:0:1, 4+0:2:0:0:1, 5+0:3:0:0:2, 5+0:2:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:1, 5+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:2:0:0:1, 6+0:0:0:0:0, 4+0:1:0:0:1, 7+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 4+0:2:0:0:1, 3+0:2:0:0:1, 5+0:3:0:0:2, 3+0:1:0:0:1, 3+0:1:0:0:0, 5+0:1:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+0:1:0:0:1, 1+0:0:0:0:0, 5+0:2:0:0:1, 6+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 300+0:58:0:0:38
F# minor (3#), 2+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:2, 5+0:1:0:0:3, 5+0:2:0:0:4, 3+0:1:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:2, 5+0:1:0:0:3, 5+0:2:0:0:4, 4+0:1:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:2, 5+0:2:0:0:3, 4+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 5+0:1:0:0:3, 5+0:2:0:0:4, 5+0:1:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 5+0:2:0:0:4, 2+0:0:0:0:0, 5+0:1:0:0:3, 6+0:1:0:0:2, 6+0:2:0:0:4, 4+0:0:0:0:2, 2+0:0:0:0:1, 5+0:2:0:0:3, 4+0:1:0:0:3, 3+0:0:0:0:1, 6+0:0:0:0:2, 6+0:1:0:0:3, 8+1:3:0:0:5, 5+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:2, 5+0:2:0:0:4, 3+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:0, 5+0:0:0:0:2, 5+0:1:0:0:2, 7+0:2:0:0:4, 3+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:1, 6+0:0:0:0:2, 6+0:0:0:0:2, 8+0:3:0:0:5, 7+1:2:0:0:4, 2+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 5+0:1:0:0:2, 6+0:2:0:0:4, 5+0:2:0:0:4, 5+0:0:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 9+0:0:0:0:2, 4+0:1:0:0:3, 8+0:1:0:0:4, 6+1:2:0:0:4, 5+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:2, 402+3:46:0:0:189
Ab major (4b), 3+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:3, 6+0:1:0:0:4, 4+0:0:0:0:3, 2+0:0:0:0:2, 4+0:0:0:0:2, 5+0:1:0:0:4, 5+0:0:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:3, 6+0:1:0:0:4, 4+0:0:0:0:3, 2+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:2, 7+0:2:0:0:5, 5+0:1:0:0:3, 6+0:3:0:0:5, 5+0:2:0:0:4, 7+0:2:0:0:5, 6+0:1:0:0:4, 3+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:3, 6+0:1:0:0:4, 4+0:0:0:0:3, 2+0:0:0:0:2, 4+0:0:0:0:2, 3+0:1:0:0:3, 4+0:0:0:0:3, 1+0:0:0:0:1, 5+0:0:0:0:2, 5+0:1:0:0:4, 5+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 6+0:1:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 6+0:1:0:0:4, 6+0:0:0:0:3, 2+0:0:0:0:1, 8+0:0:0:0:4, 3+0:1:0:0:2, 3+0:0:0:0:2, 7+0:2:0:0:5, 5+0:1:0:0:3, 6+0:2:0:0:5, 5+0:3:0:0:5, 7+0:2:0:0:5, 5+0:1:0:0:4, 3+0:0:0:0:1, 5+0:0:0:0:2, 2+0:0:0:0:2, 3+0:0:0:0:2, 4+0:1:0:0:4, 4+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2, 6+0:2:0:0:5, 8+0:0:0:0:3, 3+0:0:0:0:1, 7+0:0:0:0:4, 4+0:1:0:0:4, 3+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:3, 5+0:1:0:0:4, 6+0:1:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:2, 1+0:0:0:0:1, 6+0:2:0:0:5, 5+0:1:0:0:3, 6+0:3:0:0:6, 4+0:1:0:0:4, 5+0:1:0:0:4, 6+0:1:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:3, 2+0:0:0:0:2, 3+0:0:0:0:2, 8+0:2:0:0:5, 3+0:0:0:0:2, 4+0:0:0:0:1, 6+0:0:0:0:3, 3+0:1:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:1, 411+0:50:0:0:271
E major (4#), 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 5+0:2:0:0:2, 2+0:1:0:0:1, 5+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 5+0:2:0:0:2, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:0:0:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 5+0:2:0:0:2, 4+0:1:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 6+0:2:0:0:2, 2+0:0:0:0:0, 6+0:1:0:0:1, 6+0:1:0:0:1, 7+0:2:0:0:2, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 5+0:1:0:0:1, 3+0:0:0:0:0, 6+0:0:0:0:0, 6+0:1:0:0:1, 8+1:3:0:0:3, 5+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:2:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:0, 5+0:1:0:0:1, 7+0:2:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:0, 6+0:0:0:0:0, 7+0:2:0:0:2, 7+1:2:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 6+0:1:0:0:1, 6+0:2:0:0:2, 6+0:2:0:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:0:0:0, 5+0:1:0:0:1, 8+0:1:0:0:1, 6+1:2:0:0:2, 5+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 393+3:44:0:0:44
F minor (4b), 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 6+0:2:0:0:2, 4+0:1:0:0:1, 5+0:3:0:0:3, 4+0:2:0:0:2, 6+0:2:0:0:2, 5+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:0:0:0, 4+0:1:0:0:1, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 5+0:1:0:0:1, 5+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 6+0:2:0:0:2, 4+0:1:0:0:1, 5+0:2:0:0:2, 4+0:3:0:0:3, 6+0:2:0:0:2, 4+0:1:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:0:0:2, 7+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 7+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 5+0:2:0:0:2, 4+0:1:0:0:1, 5+0:3:0:0:3, 3+0:1:0:0:1, 5+0:2:0:0:2, 5+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 7+0:2:0:0:2, 4+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 2+0:1:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 337+0:51:0:0:51
C# minor (4#), 4+0:0:0:0:2, 5+0:0:0:0:3, 5+0:0:0:0:3, 6+0:0:0:0:3, 5+0:0:0:0:3, 4+0:1:0:0:4, 5+0:2:0:0:4, 3+0:1:0:0:2, 6+0:0:0:0:3, 5+0:0:0:0:3, 5+0:0:0:0:3, 6+0:0:0:0:3, 5+0:0:0:0:3, 4+0:1:0:0:4, 5+0:2:0:0:4, 3+0:1:0:0:3, 2+0:0:0:0:2, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 6+0:0:0:0:3, 4+0:0:0:0:2, 3+0:0:0:0:2, 6+0:2:0:0:4, 5+0:0:0:0:3, 5+0:0:0:0:3, 4+0:0:0:0:2, 5+0:0:0:0:3, 4+0:1:0:0:4, 5+0:2:0:0:4, 4+0:1:0:0:3, 5+0:0:0:0:3, 3+0:0:0:0:3, 7+0:2:0:0:5, 3+0:0:0:0:1, 7+0:1:0:0:4, 6+0:1:0:0:3, 7+0:2:0:0:5, 5+0:0:0:0:3, 4+0:0:0:0:2, 4+0:1:0:0:3, 6+0:1:0:0:4, 4+0:0:0:0:2, 7+0:0:0:0:3, 6+0:1:0:0:4, 8+1:3:0:0:6, 5+0:0:0:0:3, 2+0:0:0:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 6+0:0:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:2, 7+0:2:0:0:5, 2+0:0:0:0:2, 5+0:0:0:0:3, 2+0:0:0:0:1, 7+0:0:0:0:3, 5+0:1:0:0:3, 7+0:2:0:0:5, 3+0:0:0:0:2, 5+0:0:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:2, 7+0:0:0:0:3, 7+0:0:0:0:3, 7+0:2:0:0:5, 7+1:2:0:0:5, 2+0:0:0:0:1, 5+0:0:0:0:3, 3+0:0:0:0:2, 5+0:0:0:0:3, 4+0:0:0:0:3, 7+0:1:0:0:3, 6+0:2:0:0:5, 6+0:2:0:0:5, 5+0:0:0:0:3, 2+0:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:1, 5+0:0:0:0:3, 5+0:0:0:0:2, 2+0:0:0:0:2, 5+0:0:0:0:3, 8+0:0:0:0:3, 6+0:1:0:0:4, 8+0:1:0:0:5, 6+1:2:0:0:5, 5+0:0:0:0:3, 5+0:0:0:0:3, 3+0:0:0:0:3, 451+3:44:0:0:271
Db major (5b), 4+0:0:0:0:3, 4+0:0:0:0:3, 5+0:0:0:0:4, 7+0:1:0:0:5, 5+0:0:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:3, 6+0:1:0:0:4, 6+0:0:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:4, 7+0:1:0:0:5, 5+0:0:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 7+0:2:0:0:6, 5+0:1:0:0:4, 7+0:3:0:0:6, 6+0:2:0:0:5, 7+1:1:0:0:5, 6+0:1:0:0:5, 3+0:0:0:0:2, 5+0:0:0:0:3, 4+0:0:0:0:3, 5+0:0:0:0:4, 7+0:1:0:0:5, 5+0:0:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:3, 4+0:1:0:0:3, 5+0:0:0:0:4, 2+0:0:0:0:1, 6+0:0:0:0:3, 6+0:1:0:0:5, 6+0:0:0:0:3, 5+0:0:0:0:3, 4+0:0:0:0:2, 7+0:1:0:0:5, 4+0:0:0:0:3, 5+0:0:0:0:3, 5+0:0:0:0:3, 7+0:1:0:0:5, 7+0:0:0:0:4, 3+0:0:0:0:2, 9+0:0:0:0:5, 4+0:1:0:0:3, 4+0:0:0:0:2, 7+0:2:0:0:6, 5+0:1:0:0:4, 7+0:2:0:0:6, 6+0:3:0:0:5, 7+1:1:0:0:5, 5+0:1:0:0:5, 3+0:0:0:0:2, 6+0:0:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:3, 5+0:1:0:0:4, 5+0:0:0:0:3, 4+0:0:0:0:2, 6+0:0:0:0:3, 3+0:0:0:0:2, 5+0:0:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:3, 7+0:2:0:0:6, 9+0:0:0:0:5, 4+0:0:0:0:2, 8+0:0:0:0:5, 5+0:1:0:0:4, 4+0:0:0:0:3, 3+0:0:0:0:2, 5+0:0:0:0:4, 6+0:1:0:0:4, 7+0:1:0:0:4, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:1:0:0:3, 2+0:0:0:0:1, 6+0:2:0:0:6, 5+0:1:0:0:4, 7+0:3:0:0:6, 5+0:1:0:0:4, 6+0:1:0:0:5, 6+0:1:0:0:5, 5+0:0:0:0:4, 6+0:0:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:3, 9+0:2:0:0:6, 4+0:0:0:0:3, 5+0:0:0:0:2, 7+0:0:0:0:4, 4+0:1:0:0:3, 4+0:0:0:0:3, 2+0:0:0:0:1, 493+2:48:0:0:349
B major (5#), 4+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 6+0:0:0:0:0, 5+0:0:0:0:1, 5+0:1:0:0:2, 6+0:2:0:0:3, 3+0:1:0:0:1, 6+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 6+0:0:0:0:0, 5+0:0:0:0:1, 5+0:1:0:0:2, 6+0:2:0:0:3, 4+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:0:1, 5+0:1:0:0:2, 6+0:2:0:0:3, 5+0:1:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:1, 7+0:2:0:0:3, 3+0:0:0:0:0, 7+0:1:0:0:2, 7+0:1:0:0:1, 8+0:2:0:0:3, 5+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:0, 6+0:1:0:0:2, 4+0:0:0:0:0, 7+0:0:0:0:1, 6+0:1:0:0:2, 9+1:3:0:0:4, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:1, 7+0:2:0:0:3, 3+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 7+0:0:0:0:1, 5+0:1:0:0:1, 8+0:2:0:0:3, 3+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 7+0:0:0:0:1, 7+0:0:0:0:1, 7+0:2:0:0:3, 8+1:2:0:0:3, 2+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 7+0:1:0:0:2, 6+0:2:0:0:3, 7+0:2:0:0:3, 5+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:1, 8+0:0:0:0:1, 6+0:1:0:0:2, 8+0:1:0:0:3, 7+1:2:0:0:3, 5+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:1, 467+3:41:0:0:105
