 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
C major (0), 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:1:0:2, 4+0:0:0:0:1, 6+0:0:1:0:2, 5+0:0:0:0:1, 2+0:0:0:0:1, 6+1:0:0:0:1, 6+0:0:1:0:2, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:1:0:2, 3+0:0:0:0:0, 7+0:0:1:0:2, 4+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 91+1:0:5:0:19
A minor (0), 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:3, 4+0:0:0:0:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:1:0:5, 4+0:0:0:0:3, 6+0:0:1:0:5, 5+0:0:0:0:4, 1+0:0:0:0:0, 7+1:0:0:0:2, 6+0:0:1:0:5, 4+0:0:0:0:3, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:1:0:3, 4+0:0:0:0:1, 7+0:0:1:0:5, 4+0:0:0:0:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:3, 4+0:0:0:0:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 111+1:0:5:0:55
F major (1b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:1:0:1, 3+0:0:0:0:0, 5+0:0:1:0:1, 4+0:0:0:0:0, 3+0:2:0:0:2, 5+1:2:0:0:2, 5+0:0:1:0:1, 3+0:0:0:0:0, 4+0:2:0:0:2, 4+0:1:0:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 4+0:1:1:0:2, 2+0:0:0:0:0, 6+0:0:1:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 74+1:9:5:0:14
G major (1#), 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 5+0:4:0:0:1, 4+0:3:0:0:1, 2+0:1:0:0:0, 1+0:0:0:0:0, 7+0:6:1:0:3, 5+0:4:0:0:2, 7+0:6:1:0:3, 6+0:5:0:0:2, 1+0:0:0:0:1, 7+1:3:0:0:1, 7+0:6:1:0:3, 5+0:4:0:0:2, 2+0:0:0:0:0, 2+0:1:0:0:0, 4+0:2:0:0:2, 3+0:2:0:0:0, 6+0:4:1:0:1, 4+0:3:0:0:0, 8+0:6:1:0:3, 5+0:4:0:0:2, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 5+0:4:0:0:1, 4+0:3:0:0:1, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 116+1:76:5:0:29
D minor (1b), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 4+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:4, 3+0:0:0:0:3, 5+0:0:1:0:4, 4+0:0:0:0:3, 3+0:2:0:0:0, 4+1:1:0:0:2, 5+0:0:1:0:4, 3+0:0:0:0:3, 5+0:2:0:0:0, 4+0:1:0:0:0, 5+0:2:0:0:2, 3+0:0:0:0:1, 3+0:0:1:0:2, 2+0:1:0:0:0, 6+0:0:1:0:4, 3+0:0:0:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 4+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 90+1:9:5:0:43
E minor (1#), 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 5+0:4:0:0:4, 4+0:3:0:0:3, 3+0:1:0:0:1, 1+0:0:0:0:0, 7+0:6:1:0:6, 5+0:4:0:0:4, 7+0:6:1:0:6, 6+0:5:0:0:5, 2+0:0:0:0:0, 7+1:3:0:0:3, 7+0:5:1:0:5, 5+0:4:0:0:4, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:2:0:0:2, 3+0:2:0:0:2, 6+0:3:1:0:3, 5+0:2:0:0:2, 8+0:6:1:0:6, 5+0:4:0:0:4, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 5+0:4:0:0:4, 4+0:3:0:0:3, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 127+1:73:5:0:73
Bb major (2b), 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:0, 3+0:0:0:0:0, 4+0:0:1:0:0, 3+0:0:0:0:0, 4+0:2:0:0:3, 6+1:2:0:0:2, 4+0:0:1:0:0, 3+0:0:0:0:0, 5+0:2:0:0:3, 4+0:1:0:0:2, 4+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:1:0:1, 1+0:0:0:0:0, 5+0:0:1:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 84+1:8:5:0:11
D major (2#), 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 5+0:4:0:0:2, 5+0:3:0:0:2, 3+0:1:0:0:0, 2+0:0:0:0:0, 7+0:6:1:0:4, 5+0:4:0:0:3, 7+0:6:1:0:4, 6+0:5:0:0:3, 1+0:0:0:0:0, 6+1:3:0:0:2, 7+0:6:1:0:4, 5+0:4:0:0:3, 3+0:0:0:0:0, 2+0:1:0:0:0, 5+0:2:0:0:2, 4+0:2:0:0:1, 5+0:4:1:0:2, 4+0:2:0:0:0, 8+0:6:1:0:4, 5+0:4:0:0:3, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 5+0:4:0:0:2, 5+0:3:0:0:2, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 132+1:75:5:0:43
G minor (2b), 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:3, 4+0:0:0:0:2, 5+0:0:1:0:3, 4+0:0:0:0:2, 3+0:1:0:0:1, 7+1:1:0:0:1, 5+0:0:1:0:3, 4+0:0:0:0:2, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:0, 5+0:1:2:0:2, 2+0:0:0:0:0, 6+0:0:1:0:3, 4+0:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 108+1:3:6:0:29
B minor (2#), 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:1:0:0:2, 3+0:0:0:0:1, 5+0:4:0:0:5, 6+0:3:0:0:4, 4+0:1:0:0:2, 3+0:0:0:0:1, 7+0:6:1:0:7, 5+0:4:0:0:5, 7+0:6:1:0:7, 6+0:5:0:0:6, 2+0:0:0:0:0, 6+1:3:0:0:4, 7+0:5:1:0:6, 5+0:4:0:0:5, 4+0:0:0:0:1, 3+0:1:0:0:2, 5+0:2:0:0:3, 5+0:2:0:0:3, 5+0:4:1:0:5, 4+0:2:0:0:3, 8+0:6:1:0:7, 5+0:4:0:0:5, 4+0:1:0:0:2, 3+0:0:0:0:1, 4+0:1:0:0:2, 3+0:0:0:0:1, 5+0:4:0:0:5, 6+0:3:0:0:4, 4+0:1:0:0:2, 3+0:0:0:0:1, 3+0:1:0:0:2, 149+1:74:5:0:106
