 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, rowcost
D aeolian (2#), 3+0:2:0:0:0, 6+0:2:0:0:0, 3+0:3:0:0:1, 6+0:4:0:0:1, 4+0:3:0:0:0, 5+0:3:0:0:1, 6+0:3:0:0:1, 5+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:0, 5+0:2:0:0:1, 6+0:2:0:0:0, 3+0:3:0:0:1, 6+0:4:0:0:1, 4+0:3:0:0:0, 5+0:3:0:0:1, 6+0:3:0:0:1, 5+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:0, 5+0:2:0:0:1, 4+0:2:0:0:0, 5+0:3:0:0:1, 4+0:2:0:0:0, 4+0:2:1:0:1, 6+0:4:0:0:1, 4+0:3:0:0:1, 4+0:3:0:0:0, 7+0:3:0:0:0, 6+0:3:1:0:1, 7+0:4:0:0:1, 6+0:2:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 5+0:3:0:0:1, 4+0:3:0:0:0, 4+0:3:0:0:1, 4+0:3:0:0:1, 7+0:4:0:0:1, 8+0:3:0:0:0, 10+1:3:1:0:4, 3+0:2:0:0:0, 4+0:1:0:0:0, 4+0:3:0:0:0, 4+0:2:0:0:0, 3+0:1:1:0:1, 6+0:3:0:0:1, 2+0:1:0:0:0, 3+0:2:0:0:0, 6+0:4:0:0:1, 4+0:3:0:0:1, 2+0:1:0:0:0, 5+0:3:0:0:0, 3+0:2:0:0:0, 6+0:2:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:0, 5+0:4:0:0:1, 3+0:2:0:0:0, 7+0:3:0:0:0, 4+0:3:0:0:1, 4+0:3:0:0:1, 3+0:1:0:0:0, 8+0:5:1:0:2, 3+0:2:0:0:0, 6+0:3:0:0:1, 3+0:1:0:0:0, 8+0:4:0:0:1, 335+1:185:5:0:35
Bb locrian (2b), 1+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 6+0:0:0:0:1, 3+0:1:1:0:2, 5+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 10+0:0:3:0:2, 2+0:1:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:1, 1+0:1:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 1+0:0:0:0:0, 5+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 149+0:12:5:0:20
D locrian (2#), 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 7+0:0:0:0:0, 4+0:0:1:0:1, 5+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 6+0:0:0:0:0, 8+1:0:1:0:3, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:1:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 6+0:0:0:0:2, 242+1:0:3:0:16
Eb major (3b), 0+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 5+0:0:0:0:0, 3+0:1:1:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 9+0:0:3:0:3, 1+0:1:0:0:1, 2+0:0:0:0:0, 1+0:1:0:0:1, 1+0:0:0:0:0, 1+0:1:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 1+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 0+0:0:0:0:0, 4+0:0:0:0:0, 2+0:1:0:0:1, 3+0:1:0:0:1, 119+0:13:5:0:18
A major (3#), 3+0:2:0:0:1, 7+0:2:0:0:1, 4+0:3:0:0:1, 7+0:4:0:0:2, 5+0:3:0:0:1, 6+0:3:0:0:1, 7+0:3:0:0:1, 5+0:2:0:0:1, 4+0:2:0:0:0, 4+0:2:0:0:0, 5+0:2:0:0:0, 5+0:2:0:0:1, 6+0:2:0:0:0, 7+0:2:0:0:1, 4+0:3:0:0:1, 7+0:4:0:0:2, 5+0:3:0:0:1, 6+0:3:0:0:1, 7+0:3:0:0:1, 5+0:2:0:0:1, 4+0:2:0:0:0, 4+0:2:0:0:0, 5+0:2:0:0:0, 5+0:2:0:0:1, 6+0:2:0:0:0, 5+0:2:0:0:1, 6+0:3:0:0:1, 5+0:2:0:0:1, 5+0:2:1:0:2, 7+0:3:0:0:1, 5+0:3:0:0:1, 4+0:3:0:0:1, 8+0:3:0:0:2, 7+0:3:1:0:1, 8+0:4:0:0:1, 6+0:2:0:0:1, 5+0:2:0:0:0, 4+0:2:0:0:1, 6+0:3:0:0:1, 5+0:3:0:0:1, 5+0:3:0:0:2, 5+0:3:0:0:1, 8+0:3:0:0:1, 8+0:4:0:0:2, 11+1:3:1:0:5, 4+0:2:0:0:0, 4+0:1:0:0:0, 4+0:3:0:0:1, 4+0:2:0:0:1, 3+0:1:1:0:1, 7+0:3:0:0:1, 2+0:1:0:0:0, 3+0:2:0:0:1, 7+0:4:0:0:2, 5+0:3:0:0:1, 2+0:1:0:0:0, 6+0:3:0:0:1, 4+0:2:0:0:0, 7+0:2:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:1, 6+0:3:0:0:1, 3+0:2:0:0:0, 8+0:3:0:0:1, 5+0:3:0:0:1, 5+0:3:0:0:1, 3+0:1:0:0:0, 8+0:5:1:0:4, 4+0:2:0:0:0, 6+0:3:0:0:1, 4+0:1:0:0:0, 9+0:4:0:0:2, 388+1:183:5:0:67
C minor (3b), 1+0:0:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 6+0:0:0:0:0, 4+0:1:1:0:1, 5+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 10+0:3:2:0:4, 2+0:1:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 3+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:1:0:0:0, 4+0:1:0:0:2, 184+0:23:4:0:17
F# minor (3#), 3+0:2:0:0:3, 7+0:2:0:0:4, 4+0:3:0:0:3, 7+0:3:0:0:5, 5+0:2:0:0:3, 6+0:3:0:0:4, 7+0:3:0:0:4, 5+0:2:0:0:4, 4+0:1:0:0:2, 4+0:1:0:0:2, 5+0:1:0:0:3, 5+0:2:0:0:3, 6+0:2:0:0:4, 7+0:2:0:0:4, 4+0:3:0:0:3, 7+0:3:0:0:5, 5+0:2:0:0:3, 6+0:3:0:0:4, 7+0:3:0:0:4, 5+0:2:0:0:4, 4+0:1:0:0:2, 4+0:1:0:0:2, 5+0:1:0:0:3, 5+0:2:0:0:3, 6+0:2:0:0:4, 5+0:2:0:0:4, 6+0:3:0:0:4, 5+0:2:0:0:4, 5+0:2:1:0:3, 7+0:3:0:0:5, 5+0:3:0:0:3, 5+0:3:0:0:4, 8+0:3:0:0:5, 7+0:3:0:0:4, 8+0:4:0:0:6, 6+0:2:0:0:5, 5+0:1:0:0:3, 4+0:2:0:0:3, 6+0:3:0:0:4, 5+0:2:0:0:3, 6+0:3:0:0:4, 5+0:3:0:0:4, 8+0:3:0:0:4, 8+0:4:0:0:6, 10+1:4:1:0:6, 4+0:1:0:0:2, 4+0:1:0:0:3, 4+0:2:0:0:3, 4+0:2:0:0:3, 3+0:1:1:0:2, 7+0:3:0:0:4, 2+0:1:0:0:2, 3+0:2:0:0:3, 7+0:4:0:0:6, 5+0:3:0:0:4, 2+0:1:0:0:2, 6+0:3:0:0:5, 4+0:1:0:0:2, 7+0:2:0:0:4, 4+0:2:0:0:4, 2+0:1:0:0:2, 3+0:2:0:0:3, 6+0:3:0:0:4, 3+0:2:0:0:3, 8+0:2:0:0:4, 5+0:3:0:0:4, 5+0:3:0:0:4, 3+0:1:0:0:3, 8+0:5:1:0:6, 4+0:1:0:0:2, 6+0:3:0:0:5, 4+0:1:0:0:2, 9+0:4:0:0:6, 389+1:167:4:0:266
C minor mel (3b), 2+0:0:0:0:0, 4+0:1:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 4+0:1:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:1, 7+0:0:0:0:0, 3+0:1:1:0:1, 4+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:1:0:0:0, 9+0:3:2:0:4, 2+0:1:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 2+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 4+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:1:0:0:0, 5+0:1:0:0:2, 198+0:23:4:0:17
F# minor mel (3#), 4+0:2:0:0:3, 8+0:2:0:0:4, 4+0:3:0:0:3, 8+0:3:0:0:5, 6+0:2:0:0:3, 6+0:3:0:0:4, 7+0:3:0:0:4, 6+0:2:0:0:4, 5+0:1:0:0:2, 5+0:1:0:0:2, 6+0:1:0:0:3, 6+0:2:0:0:3, 6+0:2:0:0:4, 8+0:2:0:0:4, 4+0:3:0:0:3, 8+0:3:0:0:5, 6+0:2:0:0:3, 6+0:3:0:0:4, 7+0:3:0:0:4, 6+0:2:0:0:4, 5+0:1:0:0:2, 5+0:1:0:0:2, 6+0:1:0:0:3, 6+0:2:0:0:3, 6+0:2:0:0:4, 6+0:2:0:0:4, 6+0:3:0:0:4, 6+0:2:0:0:4, 6+0:2:1:0:3, 7+0:3:0:0:5, 5+0:3:0:0:3, 6+0:3:0:0:4, 9+0:3:0:0:5, 6+1:2:0:0:3, 9+0:4:0:0:6, 7+0:2:0:0:5, 6+0:1:0:0:3, 5+0:2:0:0:3, 6+0:3:0:0:4, 6+0:2:0:0:3, 7+0:3:0:0:4, 5+0:3:0:0:4, 8+0:3:0:0:4, 9+0:4:0:0:6, 11+1:4:1:0:6, 5+0:1:0:0:2, 4+0:1:0:0:3, 5+0:2:0:0:3, 5+0:2:0:0:3, 4+0:1:1:0:2, 7+0:3:0:0:4, 3+0:1:0:0:2, 4+0:2:0:0:3, 7+0:4:0:0:6, 5+0:3:0:0:4, 3+0:1:0:0:2, 7+0:3:0:0:5, 4+0:1:0:0:2, 8+0:2:0:0:4, 5+0:2:0:0:4, 3+0:1:0:0:2, 4+0:2:0:0:3, 6+0:3:0:0:4, 4+0:2:0:0:3, 9+0:2:0:0:4, 5+0:3:0:0:4, 5+0:3:0:0:4, 4+0:1:0:0:3, 9+0:5:1:0:6, 5+0:1:0:0:2, 6+1:2:0:0:4, 5+0:1:0:0:2, 10+0:4:0:0:6, 437+3:165:4:0:264
Eb major blues (3b), 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:1:0:0:1, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 5+0:1:0:0:2, 8+0:0:0:0:1, 4+0:1:1:0:1, 6+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 11+0:0:3:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 2+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:1, 2+0:1:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:1:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 4+0:1:0:0:1, 6+0:0:0:0:0, 254+0:10:5:0:20
A major blues (3#), 4+0:2:0:0:1, 8+0:2:0:0:1, 4+0:3:0:0:2, 8+0:3:0:0:2, 6+0:2:0:0:1, 6+0:3:0:0:2, 7+0:3:0:0:2, 6+0:2:0:0:1, 5+0:2:0:0:1, 5+0:2:0:0:1, 6+0:2:0:0:1, 6+0:2:0:0:1, 6+0:2:0:0:1, 8+0:2:0:0:1, 4+0:3:0:0:2, 8+0:3:0:0:2, 6+0:2:0:0:1, 6+0:3:0:0:2, 7+0:3:0:0:2, 6+0:2:0:0:1, 5+0:2:0:0:1, 5+0:2:0:0:1, 6+0:2:0:0:1, 6+0:2:0:0:1, 6+0:2:0:0:1, 6+0:2:0:0:1, 6+0:3:0:0:2, 6+0:2:0:0:1, 7+0:2:0:0:1, 7+0:3:0:0:2, 5+0:3:0:0:2, 6+0:3:0:0:2, 10+0:3:0:0:2, 7+0:3:1:0:2, 9+0:4:0:0:3, 7+0:2:0:0:1, 6+0:2:0:0:1, 6+0:2:0:0:1, 6+0:3:0:0:2, 6+0:2:0:0:1, 6+0:3:0:0:2, 5+0:3:0:0:2, 8+0:3:0:0:2, 9+0:4:0:0:3, 12+1:3:1:0:5, 5+0:2:0:0:1, 4+0:1:0:0:1, 6+0:2:0:0:1, 5+0:2:0:0:1, 5+0:1:0:0:0, 7+0:3:0:0:2, 3+0:1:0:0:0, 4+0:2:0:0:1, 7+0:4:0:0:3, 5+0:3:0:0:2, 3+0:1:0:0:0, 7+0:3:0:0:2, 4+0:2:0:0:1, 8+0:2:0:0:1, 5+0:2:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:1, 6+0:3:0:0:2, 5+0:2:0:0:1, 9+0:2:0:0:1, 5+0:3:0:0:2, 5+0:3:0:0:2, 4+0:1:0:0:0, 9+0:5:1:0:4, 5+0:2:0:0:1, 7+0:3:0:0:3, 5+0:1:0:0:0, 10+0:4:0:0:3, 445+1:176:3:0:108
C minor blues (3b), 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:1:0:0:1, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 5+0:1:0:0:2, 8+0:0:0:0:1, 4+0:1:1:0:1, 6+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 11+0:0:3:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 2+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:1, 2+0:1:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:1:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 4+0:1:0:0:1, 6+0:0:0:0:0, 254+0:10:5:0:20
F# minor blues (3#), 4+0:2:0:0:1, 8+0:2:0:0:1, 4+0:3:0:0:2, 8+0:3:0:0:2, 6+0:2:0:0:1, 6+0:3:0:0:2, 7+0:3:0:0:2, 6+0:2:0:0:1, 5+0:2:0:0:1, 5+0:2:0:0:1, 6+0:2:0:0:1, 6+0:2:0:0:1, 6+0:2:0:0:1, 8+0:2:0:0:1, 4+0:3:0:0:2, 8+0:3:0:0:2, 6+0:2:0:0:1, 6+0:3:0:0:2, 7+0:3:0:0:2, 6+0:2:0:0:1, 5+0:2:0:0:1, 5+0:2:0:0:1, 6+0:2:0:0:1, 6+0:2:0:0:1, 6+0:2:0:0:1, 6+0:2:0:0:1, 6+0:3:0:0:2, 6+0:2:0:0:1, 7+0:2:0:0:1, 7+0:3:0:0:2, 5+0:3:0:0:2, 6+0:3:0:0:2, 10+0:3:0:0:2, 7+0:3:1:0:2, 9+0:4:0:0:3, 7+0:2:0:0:1, 6+0:2:0:0:1, 6+0:2:0:0:1, 6+0:3:0:0:2, 6+0:2:0:0:1, 6+0:3:0:0:2, 5+0:3:0:0:2, 8+0:3:0:0:2, 9+0:4:0:0:3, 12+1:3:1:0:5, 5+0:2:0:0:1, 4+0:1:0:0:1, 6+0:2:0:0:1, 5+0:2:0:0:1, 5+0:1:0:0:0, 7+0:3:0:0:2, 3+0:1:0:0:0, 4+0:2:0:0:1, 7+0:4:0:0:3, 5+0:3:0:0:2, 3+0:1:0:0:0, 7+0:3:0:0:2, 4+0:2:0:0:1, 8+0:2:0:0:1, 5+0:2:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:1, 6+0:3:0:0:2, 5+0:2:0:0:1, 9+0:2:0:0:1, 5+0:3:0:0:2, 5+0:3:0:0:2, 4+0:1:0:0:0, 9+0:5:1:0:4, 5+0:2:0:0:1, 7+0:3:0:0:3, 5+0:1:0:0:0, 10+0:4:0:0:3, 445+1:176:3:0:108
Eb dorian (3b), 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 6+0:0:0:0:0, 2+0:0:1:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 8+0:0:3:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:1:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:2, 133+0:0:5:0:16
