 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 8+2:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 9+0:0:0:0:2, 1+0:0:0:0:0, 64+3:0:3:0:10
A minor (0), 4+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 7+0:0:1:0:3, 4+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 9+2:0:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:1:0:3, 6+1:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:0, 7+0:0:1:0:4, 10+0:0:0:0:4, 1+0:0:0:0:1, 80+3:0:3:0:35
F major (1b), 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+2:2:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 4+1:2:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 8+0:1:0:0:1, 1+0:0:0:0:0, 51+3:6:3:0:9
G major (1#), 4+0:3:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 7+0:4:1:0:3, 4+0:3:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 9+2:4:0:0:2, 2+0:2:0:0:0, 4+0:3:0:0:0, 5+0:4:1:0:2, 5+1:2:0:0:1, 2+0:2:0:0:0, 3+0:2:0:0:0, 7+0:5:1:0:2, 9+0:4:0:0:2, 2+0:1:0:0:0, 75+3:49:3:0:12
D minor (1b), 3+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 5+0:1:1:0:4, 3+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 6+2:1:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:1:0:3, 5+1:1:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:1:0:3, 9+0:1:0:0:2, 2+0:0:0:0:0, 58+3:4:3:0:23
E minor (1#), 4+0:3:0:0:3, 5+0:2:0:0:2, 3+0:2:0:0:2, 7+0:4:1:0:4, 4+0:3:0:0:3, 5+0:2:0:0:2, 3+0:2:0:0:2, 9+2:4:0:0:4, 2+0:2:0:0:2, 5+0:3:0:0:3, 5+0:3:1:0:3, 4+1:2:0:0:2, 2+0:2:0:0:2, 4+0:1:0:0:1, 7+0:5:1:0:5, 9+0:4:0:0:4, 2+0:1:0:0:1, 80+3:45:3:0:45
Bb major (2b), 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:1:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+2:2:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:0, 3+1:2:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:0, 7+0:1:0:0:2, 0+0:0:0:0:0, 36+3:6:3:0:7
D major (2#), 5+0:3:0:0:1, 4+0:3:0:0:1, 2+0:2:0:0:0, 7+0:4:1:0:4, 5+0:3:0:0:1, 4+0:3:0:0:1, 2+0:2:0:0:0, 8+2:4:0:0:3, 3+0:2:0:0:1, 5+0:3:0:0:1, 5+0:4:1:0:3, 6+1:2:0:0:1, 3+0:2:0:0:1, 3+0:2:0:0:0, 7+0:5:1:0:3, 10+0:4:0:0:1, 3+0:1:0:0:0, 82+3:49:3:0:22
G minor (2b), 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+0:1:1:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+2:2:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:2, 3+1:2:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:2, 7+0:1:0:0:2, 1+0:0:0:0:0, 47+3:6:3:0:12
B minor (2#), 5+0:3:0:0:4, 4+0:3:0:0:4, 2+0:2:0:0:2, 7+0:4:1:0:5, 5+0:3:0:0:4, 4+0:3:0:0:4, 2+0:2:0:0:2, 8+2:4:0:0:5, 3+0:2:0:0:2, 5+0:3:0:0:4, 5+0:3:1:0:4, 7+1:2:0:0:2, 3+0:2:0:0:2, 3+0:1:0:0:2, 7+0:5:1:0:6, 11+0:4:0:0:5, 4+0:1:0:0:2, 85+3:47:3:0:59
